DOCID,Site,Contractor,Act,Activity,Date_Of_Month,Month,Year,RemindDays
"0","Dwarka New Delhi","PE","DVAT","Tax Deposit","20","","","0"
"0","Dwarka New Delhi","PE","Food Safety","License for Food Supply and Serve","0","","","0"
"0","Dwarka New Delhi","PE","Industrial Disputes","Progress Report on Constitution and functioning of Works Committee","0","","","0"
"0","Dwarka New Delhi","PE","Inter State Migrant","Half Yearly Return","31","5","","0"
"0","Dwarka New Delhi","PE","Inter State Migrant","License if Applicable (Form-VIII)","0","","","0"
"0","Dwarka New Delhi","PE","Inter State Migrant","Return & Reports","15","2","","0"
"0","Dwarka New Delhi","PE","Private Security","Security License","0","","","0"
"0","Dwarka New Delhi","PE","Sexual Harassment","Copy of Board of Committee Member","0","","","0"
"0","Dwarka New Delhi","PE","Sexual Harassment","Copy of Sexual Harassment Policy","0","","","0"
"0","Dwarka New Delhi","PE","Standing Orders","Certified Standing Orders","30","12","","0"
"0","Dwarka New Delhi","Contractor B","DVAT","Tax Deposit","20","","","0"
"0","Dwarka New Delhi","Contractor B","Food Safety","License for Food Supply and Serve","0","","","0"
"0","Dwarka New Delhi","Contractor B","Industrial Disputes","Progress Report on Constitution and functioning of Works Committee","0","","","0"
"0","Dwarka New Delhi","Contractor B","Inter State Migrant","Half Yearly Return","31","5","","0"
"0","Dwarka New Delhi","Contractor B","Inter State Migrant","License if Applicable (Form-VIII)","0","","","0"
"0","Dwarka New Delhi","Contractor B","Inter State Migrant","Return & Reports","15","2","","0"
"0","Dwarka New Delhi","Contractor B","Private Security","Security License","0","","","0"
"0","Dwarka New Delhi","Contractor B","Sexual Harassment","Copy of Board of Committee Member","0","","","0"
"0","Dwarka New Delhi","Contractor B","Sexual Harassment","Copy of Sexual Harassment Policy","0","","","0"
"0","Dwarka New Delhi","Contractor B","Standing Orders","Certified Standing Orders","30","12","","0"
"0","Dwarka New Delhi","Mynd Solution Private Limited","DVAT","Tax Deposit","20","","","0"
"0","Dwarka New Delhi","Mynd Solution Private Limited","Food Safety","License for Food Supply and Serve","0","","","0"
"0","Dwarka New Delhi","Mynd Solution Private Limited","Industrial Disputes","Progress Report on Constitution and functioning of Works Committee","0","","","0"
"0","Dwarka New Delhi","Mynd Solution Private Limited","Inter State Migrant","Half Yearly Return","31","5","","0"
"0","Dwarka New Delhi","Mynd Solution Private Limited","Inter State Migrant","License if Applicable (Form-VIII)","0","","","0"
"0","Dwarka New Delhi","Mynd Solution Private Limited","Inter State Migrant","Return & Reports","15","2","","0"
"0","Dwarka New Delhi","Mynd Solution Private Limited","Private Security","Security License","0","","","0"
"0","Dwarka New Delhi","Mynd Solution Private Limited","Sexual Harassment","Copy of Board of Committee Member","0","","","0"
"0","Dwarka New Delhi","Mynd Solution Private Limited","Sexual Harassment","Copy of Sexual Harassment Policy","0","","","0"
"0","Dwarka New Delhi","Mynd Solution Private Limited","Standing Orders","Certified Standing Orders","30","12","","0"
"0","Dwarka New Delhi","Personal Touch ServicesIndia Private Limited","DVAT","Tax Deposit","20","","","0"
"0","Dwarka New Delhi","Personal Touch ServicesIndia Private Limited","Food Safety","License for Food Supply and Serve","0","","","0"
"0","Dwarka New Delhi","Personal Touch ServicesIndia Private Limited","Industrial Disputes","Progress Report on Constitution and functioning of Works Committee","0","","","0"
"0","Dwarka New Delhi","Personal Touch ServicesIndia Private Limited","Inter State Migrant","Half Yearly Return","31","5","","0"
"0","Dwarka New Delhi","Personal Touch ServicesIndia Private Limited","Inter State Migrant","License if Applicable (Form-VIII)","0","","","0"
"0","Dwarka New Delhi","Personal Touch ServicesIndia Private Limited","Inter State Migrant","Return & Reports","15","2","","0"
"0","Dwarka New Delhi","Personal Touch ServicesIndia Private Limited","Private Security","Security License","0","","","0"
"0","Dwarka New Delhi","Personal Touch ServicesIndia Private Limited","Sexual Harassment","Copy of Board of Committee Member","0","","","0"
"0","Dwarka New Delhi","Personal Touch ServicesIndia Private Limited","Sexual Harassment","Copy of Sexual Harassment Policy","0","","","0"
"0","Dwarka New Delhi","Personal Touch ServicesIndia Private Limited","Standing Orders","Certified Standing Orders","30","12","","0"
"0","Dwarka New Delhi","Quess Corp Pvt. Limited","DVAT","Tax Deposit","20","","","0"
"0","Dwarka New Delhi","Quess Corp Pvt. Limited","Food Safety","License for Food Supply and Serve","0","","","0"
"0","Dwarka New Delhi","Quess Corp Pvt. Limited","Industrial Disputes","Progress Report on Constitution and functioning of Works Committee","0","","","0"
"0","Dwarka New Delhi","Quess Corp Pvt. Limited","Inter State Migrant","Half Yearly Return","31","5","","0"
"0","Dwarka New Delhi","Quess Corp Pvt. Limited","Inter State Migrant","License if Applicable (Form-VIII)","0","","","0"
"0","Dwarka New Delhi","Quess Corp Pvt. Limited","Inter State Migrant","Return & Reports","15","2","","0"
"0","Dwarka New Delhi","Quess Corp Pvt. Limited","Private Security","Security License","0","","","0"
"0","Dwarka New Delhi","Quess Corp Pvt. Limited","Sexual Harassment","Copy of Board of Committee Member","0","","","0"
"0","Dwarka New Delhi","Quess Corp Pvt. Limited","Sexual Harassment","Copy of Sexual Harassment Policy","0","","","0"
"0","Dwarka New Delhi","Quess Corp Pvt. Limited","Standing Orders","Certified Standing Orders","30","12","","0"
"0","Dwarka New Delhi","Ranstad India Private Limited","DVAT","Tax Deposit","20","","","0"
"0","Dwarka New Delhi","Ranstad India Private Limited","Food Safety","License for Food Supply and Serve","0","","","0"
"0","Dwarka New Delhi","Ranstad India Private Limited","Industrial Disputes","Progress Report on Constitution and functioning of Works Committee","0","","","0"
"0","Dwarka New Delhi","Ranstad India Private Limited","Inter State Migrant","Half Yearly Return","31","5","","0"
"0","Dwarka New Delhi","Ranstad India Private Limited","Inter State Migrant","License if Applicable (Form-VIII)","0","","","0"
"0","Dwarka New Delhi","Ranstad India Private Limited","Inter State Migrant","Return & Reports","15","2","","0"
"0","Dwarka New Delhi","Ranstad India Private Limited","Private Security","Security License","0","","","0"
"0","Dwarka New Delhi","Ranstad India Private Limited","Sexual Harassment","Copy of Board of Committee Member","0","","","0"
"0","Dwarka New Delhi","Ranstad India Private Limited","Sexual Harassment","Copy of Sexual Harassment Policy","0","","","0"
"0","Dwarka New Delhi","Ranstad India Private Limited","Standing Orders","Certified Standing Orders","30","12","","0"
"0","Dwarka New Delhi","SIS","DVAT","Tax Deposit","20","","","0"
"0","Dwarka New Delhi","SIS","Food Safety","License for Food Supply and Serve","0","","","0"
"0","Dwarka New Delhi","SIS","Industrial Disputes","Progress Report on Constitution and functioning of Works Committee","0","","","0"
"0","Dwarka New Delhi","SIS","Inter State Migrant","Half Yearly Return","31","5","","0"
"0","Dwarka New Delhi","SIS","Inter State Migrant","License if Applicable (Form-VIII)","0","","","0"
"0","Dwarka New Delhi","SIS","Inter State Migrant","Return & Reports","15","2","","0"
"0","Dwarka New Delhi","SIS","Private Security","Security License","0","","","0"
"0","Dwarka New Delhi","SIS","Sexual Harassment","Copy of Board of Committee Member","0","","","0"
"0","Dwarka New Delhi","SIS","Sexual Harassment","Copy of Sexual Harassment Policy","0","","","0"
"0","Dwarka New Delhi","SIS","Standing Orders","Certified Standing Orders","30","12","","0"
"0","East Patel Nagar Delhi","PE","DVAT","Tax Deposit","20","","","0"
"0","East Patel Nagar Delhi","PE","Food Safety","License for Food Supply and Serve","0","","","0"
"0","East Patel Nagar Delhi","PE","Industrial Disputes","Progress Report on Constitution and functioning of Works Committee","0","","","0"
"0","East Patel Nagar Delhi","PE","Inter State Migrant","Half Yearly Return","31","5","","0"
"0","East Patel Nagar Delhi","PE","Inter State Migrant","License if Applicable (Form-VIII)","0","","","0"
"0","East Patel Nagar Delhi","PE","Inter State Migrant","Return & Reports","15","2","","0"
"0","East Patel Nagar Delhi","PE","Private Security","Security License","0","","","0"
"0","East Patel Nagar Delhi","PE","Sexual Harassment","Copy of Board of Committee Member","0","","","0"
"0","East Patel Nagar Delhi","PE","Sexual Harassment","Copy of Sexual Harassment Policy","0","","","0"
"0","East Patel Nagar Delhi","PE","Standing Orders","Certified Standing Orders","30","12","","0"
"0","East Patel Nagar Delhi","Contractor B","DVAT","Tax Deposit","20","","","0"
"0","East Patel Nagar Delhi","Contractor B","Food Safety","License for Food Supply and Serve","0","","","0"
"0","East Patel Nagar Delhi","Contractor B","Industrial Disputes","Progress Report on Constitution and functioning of Works Committee","0","","","0"
"0","East Patel Nagar Delhi","Contractor B","Inter State Migrant","Half Yearly Return","31","5","","0"
"0","East Patel Nagar Delhi","Contractor B","Inter State Migrant","License if Applicable (Form-VIII)","0","","","0"
"0","East Patel Nagar Delhi","Contractor B","Inter State Migrant","Return & Reports","15","2","","0"
"0","East Patel Nagar Delhi","Contractor B","Private Security","Security License","0","","","0"
"0","East Patel Nagar Delhi","Contractor B","Sexual Harassment","Copy of Board of Committee Member","0","","","0"
"0","East Patel Nagar Delhi","Contractor B","Sexual Harassment","Copy of Sexual Harassment Policy","0","","","0"
"0","East Patel Nagar Delhi","Contractor B","Standing Orders","Certified Standing Orders","30","12","","0"
"0","East Patel Nagar Delhi","Mynd Solution Private Limited","DVAT","Tax Deposit","20","","","0"
"0","East Patel Nagar Delhi","Mynd Solution Private Limited","Food Safety","License for Food Supply and Serve","0","","","0"
"0","East Patel Nagar Delhi","Mynd Solution Private Limited","Industrial Disputes","Progress Report on Constitution and functioning of Works Committee","0","","","0"
"0","East Patel Nagar Delhi","Mynd Solution Private Limited","Inter State Migrant","Half Yearly Return","31","5","","0"
"0","East Patel Nagar Delhi","Mynd Solution Private Limited","Inter State Migrant","License if Applicable (Form-VIII)","0","","","0"
"0","East Patel Nagar Delhi","Mynd Solution Private Limited","Inter State Migrant","Return & Reports","15","2","","0"
"0","East Patel Nagar Delhi","Mynd Solution Private Limited","Private Security","Security License","0","","","0"
"0","East Patel Nagar Delhi","Mynd Solution Private Limited","Sexual Harassment","Copy of Board of Committee Member","0","","","0"
"0","East Patel Nagar Delhi","Mynd Solution Private Limited","Sexual Harassment","Copy of Sexual Harassment Policy","0","","","0"
"0","East Patel Nagar Delhi","Mynd Solution Private Limited","Standing Orders","Certified Standing Orders","30","12","","0"
"0","East Patel Nagar Delhi","Personal Touch ServicesIndia Private Limited","DVAT","Tax Deposit","20","","","0"
"0","East Patel Nagar Delhi","Personal Touch ServicesIndia Private Limited","Food Safety","License for Food Supply and Serve","0","","","0"
"0","East Patel Nagar Delhi","Personal Touch ServicesIndia Private Limited","Industrial Disputes","Progress Report on Constitution and functioning of Works Committee","0","","","0"
"0","East Patel Nagar Delhi","Personal Touch ServicesIndia Private Limited","Inter State Migrant","Half Yearly Return","31","5","","0"
"0","East Patel Nagar Delhi","Personal Touch ServicesIndia Private Limited","Inter State Migrant","License if Applicable (Form-VIII)","0","","","0"
"0","East Patel Nagar Delhi","Personal Touch ServicesIndia Private Limited","Inter State Migrant","Return & Reports","15","2","","0"
"0","East Patel Nagar Delhi","Personal Touch ServicesIndia Private Limited","Private Security","Security License","0","","","0"
