Act,ActivityID,CreatedBy,CreatedOn,Date_Of_Month,Frequency,LastUpdate,Month,Name,RemindDays,Year,IsAct,Status,ActNm,FrequencyNm,MonthNm
"-1","180","3","15/12/16 16:32:13","32","-1","15/12/16 16:32:13","1","Name","10","2016","0","In Active","","","January"
"39","184","3","24/12/16 17:01:34","12","1","24/12/16 17:01:34","1","Test","0","2015","0","In Active","A","Half Yearly","January"
"11","3","1","07/12/16 18:04:10","30","1","24/12/16 12:35:55","4","Half Yearly (Form APP-2 Details of new apprentics)","0","2015","1","Active","Apprentices Act","Half Yearly","April"
"11","5","1","07/12/16 18:04:10","30","1","07/12/16 18:04:10","4","Half Yearly (Form APP-3 notice of completion of training)","0","","1","Active","Apprentices Act","Half Yearly","April"
"11","7","1","07/12/16 18:04:10","31","7","07/12/16 18:04:10","2","Return","0","","1","Active","Apprentices Act","Yearly","February"
"13","9","1","07/12/16 18:04:10","0","9","07/12/16 18:04:10","","Annual Report","0","","1","Active","Boilers Act","As Needed","NA"
"32","11","1","07/12/16 18:04:10","31","7","07/12/16 18:04:10","10","Form A Computation of Allocable Surplus","0","","1","Active","Bonus Act","Yearly","October"
"32","13","1","07/12/16 18:04:10","31","7","07/12/16 18:04:10","10","Form B Set -on and set-off of Allocable Surplus","0","","1","Active","Bonus Act","Yearly","October"
"32","15","1","07/12/16 18:04:10","30","7","07/12/16 18:04:10","11","Form C Register of Bonus Paid to Employees","0","","1","Active","Bonus Act","Yearly","November"
"32","17","1","07/12/16 18:04:10","31","7","07/12/16 18:04:10","12","Form D Annual Return","0","","1","Active","Bonus Act","Yearly","December"
"23","19","1","07/12/16 18:04:10","0","9","07/12/16 18:04:10","","Deposition of Cess","0","","1","Active","Building and Const.","As Needed","NA"
"23","21","1","07/12/16 18:04:10","0","9","07/12/16 18:04:10","","Principal Employer Registration/Renewal/Amendments","0","","1","Active","Building and Const.","As Needed","NA"
"23","23","1","07/12/16 18:04:10","30","7","07/12/16 18:04:10","2","Register Maintenance","0","","1","Active","Building and Const.","Yearly","February"
"23","25","1","07/12/16 18:04:10","30","7","07/12/16 18:04:10","2","Submission of Returns","0","","1","Active","Building and Const.","Yearly","February"
"8","27","1","07/12/16 18:04:10","30","7","07/12/16 18:04:10","12","Disply of Notice/Abstract","0","","1","Active","Child Labour","Yearly","December"
"8","29","1","07/12/16 18:04:10","30","7","07/12/16 18:04:10","12","Form 2 Register of Children employed or Permitted to Work","0","","1","Active","Child Labour","Yearly","December"
"21","31","1","07/12/16 18:04:10","25","8","07/12/16 18:04:10","","Form X Employment Card","0","","1","Active","CLRA - Cont","Monthly","NA"
"21","32","1","07/12/16 18:04:10","25","8","07/12/16 18:04:10","","Form XI Services Certificate","0","","1","Active","CLRA - Cont","Monthly","NA"
"21","33","1","07/12/16 18:04:10","25","8","07/12/16 18:04:10","","Form XIX Wage Slip","0","","1","Active","CLRA - Cont","Monthly","NA"
"21","34","1","07/12/16 18:04:10","25","8","07/12/16 18:04:10","","Form XVI Register of Employment","0","","1","Active","CLRA - Cont","Monthly","NA"
"21","35","1","07/12/16 18:04:10","25","8","07/12/16 18:04:10","","Form XVII Register of wages","0","","1","Active","CLRA - Cont","Monthly","NA"
"21","36","1","07/12/16 18:04:10","25","8","07/12/16 18:04:10","","Form XX Register of Deductions for Damage or Loss","0","","1","Active","CLRA - Cont","Monthly","NA"
"21","37","1","07/12/16 18:04:10","25","8","07/12/16 18:04:10","","Form XXI Register of Fines","0","","1","Active","CLRA - Cont","Monthly","NA"
"21","38","1","07/12/16 18:04:10","25","8","07/12/16 18:04:10","","Form XXII Register of Advances","0","","1","Active","CLRA - Cont","Monthly","NA"
"21","39","1","07/12/16 18:04:10","25","8","07/12/16 18:04:10","","Form XXIII Register of Over Times","0","","1","Active","CLRA - Cont","Monthly","NA"
"21","40","1","07/12/16 18:04:10","25","8","07/12/16 18:04:10","","From XIII Register of workmen by Contractor","0","","1","Active","CLRA - Cont","Monthly","NA"
"21","41","1","07/12/16 18:04:10","0","9","07/12/16 18:04:10","","Obtaining of License as a CONTRACTOR","0","","1","Active","CLRA - Cont","As Needed","NA"
"21","42","1","07/12/16 18:04:10","0","9","07/12/16 18:04:10","","Status of Form V","0","","1","Active","CLRA - Cont","As Needed","NA"
"21","43","1","07/12/16 18:04:10","0","9","07/12/16 18:04:10","","Submission of Form VI-A (commencement of work)","0","","1","Active","CLRA - Cont","As Needed","NA"
"21","44","1","07/12/16 18:04:10","31","1","07/12/16 18:04:10","2","Submission of Returns","0","","1","Active","CLRA - Cont","Half Yearly","February"
"22","45","1","07/12/16 18:04:10","0","9","07/12/16 18:04:10","","Principal Employer Registration/Renewal/Amendments","0","","1","Active","CLRA - PE","As Needed","NA"
"22","46","1","07/12/16 18:04:10","25","8","07/12/16 18:04:10","","Register Maintenance","0","","1","Active","CLRA - PE","Monthly","NA"
"22","47","1","07/12/16 18:04:10","0","9","07/12/16 18:04:10","","Submission of Form VI-B","0","","1","Active","CLRA - PE","As Needed","NA"
"22","48","1","07/12/16 18:04:10","15","7","07/12/16 18:04:10","2","Submission of Returns","0","","1","Active","CLRA - PE","Yearly","February"
"2","49","1","07/12/16 18:04:10","20","8","07/12/16 18:04:10","","Tax Deposit","0","","1","Active","DVAT","Monthly","NA"
"20","50","1","07/12/16 18:04:10","0","9","07/12/16 18:04:10","","Submission of Returns","0","","1","Active","Employ Comp.","As Needed","NA"
"24","52","1","07/12/16 18:04:10","30","3","07/12/16 18:04:10","10","Biannual Return (ER-II)","0","","1","Active","Employment Exch.","Bi-annual","October"
"24","54","1","07/12/16 18:04:10","0","9","07/12/16 18:04:10","","Notification/Intimation of Vacancies ( 15 days before onboarding )","0","","1","Active","Employment Exch.","As Needed","NA"
"24","56","1","07/12/16 18:04:10","30","6","07/12/16 18:04:10","4","Quarterly Return (ER-I)","0","","1","Active","Employment Exch.","Quarterly","April"
"19","58","1","07/12/16 18:04:10","25","8","07/12/16 18:04:10","","Register Maintanence (Form D)","0","","1","Active","Equal Remu.","Monthly","NA"
"29","60","1","07/12/16 18:04:10","0","9","07/12/16 18:04:10","","Accident Report","0","","1","Active","ESI","As Needed","NA"
"29","62","1","07/12/16 18:04:10","21","8","07/12/16 18:04:10","","ESIC ECR","0","","1","Active","ESI","Monthly","NA"
"29","64","1","07/12/16 18:04:10","21","8","07/12/16 18:04:10","","Monthly Deposit","0","","1","Active","ESI","Monthly","NA"
"29","66","1","07/12/16 18:04:10","0","9","07/12/16 18:04:10","","Registration","0","","1","Active","ESI","As Needed","NA"
"29","68","1","07/12/16 18:04:10","30","1","07/12/16 18:04:10","4","Return","0","","1","Active","ESI","Half Yearly","April"
"15","70","1","07/12/16 18:04:10","0","9","07/12/16 18:04:10","","License","0","","1","Active","Explosives Act","As Needed","NA"
"18","72","1","07/12/16 18:04:10","31","7","07/12/16 18:04:10","2","Combined Annual Return","0","","1","Active","Factories Act","Yearly","February"
"18","73","1","07/12/16 18:04:10","31","1","07/12/16 18:04:10","7","Half Yearly Return","0","","1","Active","Factories Act","Half Yearly","July"
"18","74","1","07/12/16 18:04:10","25","8","07/12/16 18:04:10","","Leave with Wages Register","0","","1","Active","Factories Act","Monthly","NA"
"18","75","1","07/12/16 18:04:10","0","9","07/12/16 18:04:10","","License Obtained","0","","1","Active","Factories Act","As Needed","NA"
"18","76","1","07/12/16 18:04:10","0","9","07/12/16 18:04:10","","Notice of Period of Work","0","","1","Active","Factories Act","As Needed","NA"
"18","77","1","07/12/16 18:04:10","0","9","07/12/16 18:04:10","","Notification of Accident","0","","1","Active","Factories Act","As Needed","NA"
"18","78","1","07/12/16 18:04:10","25","8","07/12/16 18:04:10","","Register Maintained hoist and Lift","0","","1","Active","Factories Act","Monthly","NA"
"18","79","1","07/12/16 18:04:10","25","0","16/12/16 11:19:33","0","Register of Compensatory Holidays","0","0","0","In Active","Factories Act","","NA"
"18","80","1","07/12/16 18:04:10","30","7","07/12/16 18:04:10","12","Register of Examination of Eye Sight","0","","1","Active","Factories Act","Yearly","December"
"18","81","1","07/12/16 18:04:10","30","7","07/12/16 18:04:10","12","Register of Medical Examination","0","","1","Active","Factories Act","Yearly","December"
"18","82","1","07/12/16 18:04:10","30","7","07/12/16 18:04:10","12","Register of Medical Examination of Canteen Staff","0","","1","Active","Factories Act","Yearly","December"
"18","83","1","07/12/16 18:04:10","25","8","07/12/16 18:04:10","","Register of Muster Roll Adult Workers","0","","1","Active","Factories Act","Monthly","NA"
"18","84","1","07/12/16 18:04:10","25","8","07/12/16 18:04:10","","Register of Specially Trained Adult Workers","0","","1","Active","Factories Act","Monthly","NA"
"18","85","1","07/12/16 18:04:10","30","6","07/12/16 18:04:10","4","Register of White Washing","0","","1","Active","Factories Act","Quarterly","April"
"18","86","1","07/12/16 18:04:10","0","9","07/12/16 18:04:10","","Report of Accident and Dangerous Occuurences","0","","1","Active","Factories Act","As Needed","NA"
"18","87","1","07/12/16 18:04:10","25","8","07/12/16 18:04:10","","Service Card","0","","1","Active","Factories Act","Monthly","NA"
"1","181","3","22/12/16 18:57:13","20","1","22/12/16 18:57:13","1","Testing","0","2016","0","In Active","Factory Act","Half Yearly","January"
"5","88","1","07/12/16 18:04:10","0","9","07/12/16 18:04:10","","License for Food Supply and Serve","0","","1","Active","Food Safety","As Needed","NA"
"27","90","1","07/12/16 18:04:10","0","9","07/12/16 18:04:10","","Form A Notice of Opening","0","","1","Active","Gratuity","As Needed","NA"
"27","92","1","07/12/16 18:04:10","0","9","07/12/16 18:04:10","","Form B If Any Change Occurred","0","","1","Active","Gratuity","As Needed","NA"
"27","94","1","07/12/16 18:04:10","0","9","07/12/16 18:04:10","","Form L - Notice for Payment of Gratuity to Individuals","0","","1","Active","Gratuity","As Needed","NA"
"27","96","1","07/12/16 18:04:10","0","9","07/12/16 18:04:10","","Obtaining of Form F from Individuals","0","","1","Active","Gratuity","As Needed","NA"
"17","98","1","07/12/16 18:04:10","0","9","07/12/16 18:04:10","","Progress Report on Constitution and functioning of Works Committee","0","","1","Active","Industrial Disputes","As Needed","NA"
"4","100","1","07/12/16 18:04:10","31","1","07/12/16 18:04:10","5","Half Yearly Return","0","","1","Active","Inter State Migrant","Half Yearly","May"
"4","102","1","07/12/16 18:04:10","0","9","07/12/16 18:04:10","","License if Applicable (Form-VIII)","0","","1","Active","Inter State Migrant","As Needed","NA"
"4","104","1","07/12/16 18:04:10","15","7","07/12/16 18:04:10","2","Return & Reports","0","","1","Active","Inter State Migrant","Yearly","February"
"26","106","1","07/12/16 18:04:10","31","7","07/12/16 18:04:10","2","Annual Return","0","","1","Active","LWF","Yearly","February"
"26","108","1","07/12/16 18:04:10","31","7","07/12/16 18:04:10","2","Register of Payment of Unclaimed Wages","0","","1","Active","LWF","Yearly","February"
"26","110","1","07/12/16 18:04:10","25","8","07/12/16 18:04:10","","Register of Wages","0","","1","Active","LWF","Monthly","NA"
"26","112","1","07/12/16 18:04:10","0","9","07/12/16 18:04:10","","Registration if Applicable","0","","1","Active","LWF","As Needed","NA"
"26","114","1","07/12/16 18:04:10","30","8","07/12/16 18:04:10","","Remittance Returns cum Challans","0","","1","Active","LWF","Monthly","NA"
"25","116","1","07/12/16 18:04:10","25","8","07/12/16 18:04:10","","Register Maintenance","0","","1","Active","Maternity","Monthly","NA"
"25","118","1","07/12/16 18:04:10","15","7","07/12/16 18:04:10","2","Submission of Annual Returns","0","","1","Active","Maternity","Yearly","February"
"28","120","1","07/12/16 18:04:10","25","8","07/12/16 18:04:10","","Form I Register of Fine","0","","1","Active","Min. Wages","Monthly","NA"
"28","122","1","07/12/16 18:04:10","25","8","07/12/16 18:04:10","","Form II Register of Deduction","0","","1","Active","Min. Wages","Monthly","NA"
"28","124","1","07/12/16 18:04:10","31","7","07/12/16 18:04:10","2","Form III Annual Returns","0","","1","Active","Min. Wages","Yearly","February"
"28","126","1","07/12/16 18:04:10","25","8","07/12/16 18:04:10","","Form IV Register of Overtime","0","","1","Active","Min. Wages","Monthly","NA"
"14","128","1","07/12/16 18:04:10","31","7","07/12/16 18:04:10","2","Annual Return (as applicable)","0","","1","Active","National  Festival Holidays","Yearly","February"
"14","130","1","07/12/16 18:04:10","31","7","07/12/16 18:04:10","12","Display List of Holiday","0","","1","Active","National  Festival Holidays","Yearly","December"
"14","132","1","07/12/16 18:04:10","25","8","07/12/16 18:04:10","","Register of Leave","0","","1","Active","National  Festival Holidays","Monthly","NA"
"12","134","1","07/12/16 18:04:10","25","8","07/12/16 18:04:10","","Form I Register of Fine","0","","1","Active","Payment of Wages","Monthly","NA"
"12","136","1","07/12/16 18:04:10","25","8","07/12/16 18:04:10","","Form II Register of Deduction","0","","1","Active","Payment of Wages","Monthly","NA"
"12","138","1","07/12/16 18:04:10","25","8","07/12/16 18:04:10","","Form III Register of Advance","0","","1","Active","Payment of Wages","Monthly","NA"
"12","139","1","07/12/16 18:04:10","15","7","07/12/16 18:04:10","2","Form IV Annual Return","0","","1","Active","Payment of Wages","Yearly","February"
"12","141","1","07/12/16 18:04:10","25","8","07/12/16 18:04:10","","Form-III Register of Advance","0","","1","Active","Payment of Wages","Monthly","NA"
"30","142","1","07/12/16 18:04:10","15","8","07/12/16 18:04:10","","Monthly Deposit","0","","1","Active","PF","Monthly","NA"
"30","144","1","07/12/16 18:04:10","15","8","07/12/16 18:04:10","","PF ECR","0","","1","Active","PF","Monthly","NA"
"30","146","1","07/12/16 18:04:10","0","9","07/12/16 18:04:10","","Registration","0","","1","Active","PF","As Needed","NA"
"30","148","1","07/12/16 18:04:10","0","9","07/12/16 18:04:10","","Transfer","0","","1","Active","PF","As Needed","NA"
"30","150","1","07/12/16 18:04:10","0","9","07/12/16 18:04:10","","Withdrawal","0","","1","Active","PF","As Needed","NA"
"6","152","1","07/12/16 18:04:10","0","9","07/12/16 18:04:10","","Security License","0","","1","Active","Private Security","As Needed","NA"
"10","154","1","07/12/16 18:04:10","0","9","07/12/16 18:04:10","","Registration","0","","1","Active","Professional Tax","As Needed","NA"
"10","156","1","07/12/16 18:04:10","30","8","07/12/16 18:04:10","","Remittance by Due Date","0","","1","Active","Professional Tax","Monthly","NA"
"10","158","1","07/12/16 18:04:10","30","8","07/12/16 18:04:10","","Returns under the Act","0","","1","Active","Professional Tax","Monthly","NA"
"9","160","1","07/12/16 18:04:10","0","9","07/12/16 18:04:10","","Notice Display","0","","1","Active","Prohibition of Smoking","As Needed","NA"
"31","162","1","07/12/16 18:04:10","25","8","07/12/16 18:04:10","","Employment Register","0","","1","Active","S and E","Monthly","NA"
"31","164","1","07/12/16 18:04:10","25","8","07/12/16 18:04:10","","Leave Registers","0","","1","Active","S and E","Monthly","NA"
"31","166","1","07/12/16 18:04:10","25","8","07/12/16 18:04:10","","Register of Attendance","0","","1","Active","S and E","Monthly","NA"
"31","168","1","07/12/16 18:04:10","25","8","07/12/16 18:04:10","","Register of Wages","0","","1","Active","S and E","Monthly","NA"
"31","170","1","07/12/16 18:04:10","0","9","07/12/16 18:04:10","","Registration/Renewal/Amendments/Surrender","0","","1","Active","S and E","As Needed","NA"
"31","172","1","07/12/16 18:04:10","15","7","07/12/16 18:04:10","2","Submission of Returns","0","","1","Active","S and E","Yearly","February"
"7","174","1","07/12/16 18:04:10","0","9","07/12/16 18:04:10","","Copy of Board of Committee Member","0","","1","Active","Sexual Harassment","As Needed","NA"
"7","176","1","07/12/16 18:04:10","0","9","07/12/16 18:04:10","","Copy of Sexual Harassment Policy","0","","1","Active","Sexual Harassment","As Needed","NA"
"16","178","1","07/12/16 18:04:10","30","7","07/12/16 18:04:10","12","Certified Standing Orders","0","","1","Active","Standing Orders","Yearly","December"
"3","183","3","23/12/16 11:13:37","10","1","23/12/16 11:13:37","1","Test","0","2016","0","In Active","Test Act","Half Yearly","January"
"3","182","3","22/12/16 18:58:49","10","1","23/12/16 11:37:02","1","Testing activity","0","2016","1","Active","Test Act","Half Yearly","January"
