StateID,Country,Name,Geofence,CreatedBy,CreatedOn,LastUpdate,IsAct,IsActNm,CountryNm
"43","1","Ajeet","","3","26/12/16 12:35:50","26/12/16 12:47:24","0","In Active","India"
"21","1","Andaman and Nicobar Islands","","1","07/12/16 19:14:18","","1","Active","India"
"36","1","Andhra Pradesh","","1","07/12/16 19:14:18","","1","Active","India"
"35","1","Arunachal Pradesh","","1","07/12/16 19:14:18","","1","Active","India"
"34","1","Assam","","1","07/12/16 19:14:18","","1","Active","India"
"33","1","Bihar","","1","07/12/16 19:14:18","","1","Active","India"
"20","1","Chandigarh","","1","07/12/16 19:14:18","","1","Active","India"
"32","1","Chhattisgarh","","1","07/12/16 19:14:18","","1","Active","India"
"19","1","Dadar and Nagar Haveli","","1","07/12/16 19:14:18","","1","Active","India"
"18","1","Daman and Diu","","1","07/12/16 19:14:18","","1","Active","India"
"16","1","Delhi","","1","07/12/16 19:14:18","","1","Active","India"
"38","1","Final testing","","3","22/12/16 15:27:45","","0","In Active","India"
"31","1","Goa","","1","07/12/16 19:14:18","","1","Active","India"
"30","1","Gujarat","","1","07/12/16 19:14:18","","1","Active","India"
"29","1","Haryana","","1","07/12/16 19:14:18","","1","Active","India"
"28","1","Himachal Pradesh","","1","07/12/16 19:14:18","","1","Active","India"
"27","1","Jammu & Kashmir","","1","07/12/16 19:14:18","","1","Active","India"
"26","1","Jharkhand","","1","07/12/16 19:14:18","","1","Active","India"
"25","1","Karnataka","","1","07/12/16 19:14:18","","1","Active","India"
"24","1","Kerala","","1","07/12/16 19:14:18","","1","Active","India"
"17","1","Lakshadweep","","1","07/12/16 19:14:18","","1","Active","India"
"23","1","Madhya Pradesh","","1","07/12/16 19:14:18","","1","Active","India"
"22","1","Maharashtra","","1","07/12/16 19:14:18","","1","Active","India"
"14","1","Manipur","","1","07/12/16 19:14:18","","1","Active","India"
"13","1","Meghalaya","","1","07/12/16 19:14:18","","1","Active","India"
"12","1","Mizoram","","1","07/12/16 19:14:18","","1","Active","India"
"11","1","Nagaland","","1","07/12/16 19:14:18","","1","Active","India"
"37","1","New Uttar Pradesh","","3","22/12/16 14:53:31","","0","In Active","India"
"15","1","Orissa","","1","07/12/16 19:14:18","","1","Active","India"
"10","1","Pondicherry","","1","07/12/16 19:14:18","","1","Active","India"
"9","1","Punjab","","1","07/12/16 19:14:18","","1","Active","India"
"40","1","Punjabs","","3","24/12/16 13:58:15","24/12/16 13:58:15","0","In Active","India"
"8","1","Rajasthan","","1","07/12/16 19:14:18","","1","Active","India"
"7","1","Sikkim","","1","07/12/16 19:14:18","","1","Active","India"
"6","1","Tamil Nadu","","1","07/12/16 19:14:18","","1","Active","India"
"1","1","Telangana","","1","07/12/16 19:14:18","24/12/16 18:57:45","1","Active","India"
"39","1","Test","","3","23/12/16 18:58:03","","0","In Active","India"
"41","1","Test Uttar Pradesh","","3","24/12/16 16:20:48","24/12/16 16:23:32","0","In Active","India"
"42","0","Test Uttar Pradesh1","","3","24/12/16 17:01:58","24/12/16 17:01:58","1","Active",""
"5","1","Tripura","","1","07/12/16 19:14:18","24/12/16 18:57:59","1","Active","India"
"4","1","Uttar Pradesh","","1","07/12/16 19:14:18","","1","Active","India"
"3","1","Uttarakhand","","1","07/12/16 19:14:18","","1","Active","India"
"2","1","West Bengal","","1","07/12/16 19:14:18","","1","Active","India"
