SiteID,Company,CompanyText,Customer,CustomerText,Name,State,StateText,Contact_Person,Contact_Number,Address,Maker,MakerText,Checker,ChekcerText,IsActText,IsAct
"1","7","Cars24 Services Private Limited","2","Cars24","Dwarka New Delhi","16","Delhi","Mr. Ashwin Agrawal","2978646536","","32","maker","33","checker","IN Active","0"
"2","7","Cars24 Services Private Limited","2","Cars24","Rohini New Delhi","16","Delhi","Mr. Ashwin Agrawal","2978646536","","32","maker","33","checker","Active","1"
"3","7","Cars24 Services Private Limited","2","Cars24","East Patel Nagar Delhi","16","Delhi","Mr. Ashwin Agrawal","2978646536","","32","maker","33","checker","Active","1"
"4","7","Cars24 Services Private Limited","2","Cars24","Shakti Nagar Delhi","16","Delhi","Mr. Ashwin Agrawal","2978646536","","32","maker","33","checker","Active","1"
"5","7","Cars24 Services Private Limited","2","Cars24","Janak Puri New Delhi","16","Delhi","Mr. Ashwin Agrawal","2978646536","","32","maker","33","checker","Active","1"
"6","7","Cars24 Services Private Limited","2","Cars24","Priya Enclave Delhi","16","Delhi","Mr. Ashwin Agrawal","2978646536","","32","maker","33","checker","Active","1"
"7","7","Cars24 Services Private Limited","2","Cars24","Malviya Nagar New Delhi","16","Delhi","Mr. Ashwin Agrawal","2978646536","","32","maker","33","checker","Active","1"
"8","7","Cars24 Services Private Limited","2","Cars24","Lajpat Nagar-2 New Delhi","16","Delhi","Mr. Ashwin Agrawal","2978646536","","32","maker","33","checker","Active","1"
"9","7","Cars24 Services Private Limited","2","Cars24","Malakpet Hyderabad","1","Telangana","Mr. Ashwin Agrawal","2978646536","","32","maker","33","checker","Active","1"
"10","7","Cars24 Services Private Limited","2","Cars24","Habsiguda Hyderabad","1","Telangana","Mr. Ashwin Agrawal","2978646536","","32","maker","33","checker","Active","1"
"11","7","Cars24 Services Private Limited","2","Cars24","Gachibowli Hyderabad","1","Telangana","Mr. Ashwin Agrawal","2978646536","","32","maker","33","checker","Active","1"
"12","7","Cars24 Services Private Limited","2","Cars24","Jubilee Hills Hyderabad","1","Telangana","Mr. Ashwin Agrawal","2978646536","","32","maker","33","checker","Active","1"
"13","7","Cars24 Services Private Limited","2","Cars24","Somajiguda Hyderabad","1","Telangana","Mr. Ashwin Agrawal","2978646536","","32","maker","33","checker","Active","1"
"14","7","Cars24 Services Private Limited","2","Cars24","S.A.S. Nagar Mohali","9","Punjab","Mr. Ashwin Agrawal","2978646536","","32","maker","33","checker","Active","1"
"15","7","Cars24 Services Private Limited","2","Cars24","Vaishali Nagar Jaipur","8","Rajasthan","Mr. Ashwin Agrawal","2978646536","","32","maker","33","checker","Active","1"
"16","7","Cars24 Services Private Limited","2","Cars24","R.K. Puram Hobli Bangalore","25","Karnataka","Mr. Ashwin Agrawal","2978646536","","32","maker","33","checker","Active","1"
"17","7","Cars24 Services Private Limited","2","Cars24","Yelahanka Bangalore","25","Karnataka","Mr. Ashwin Agrawal","2978646536","","32","maker","33","checker","Active","1"
"18","7","Cars24 Services Private Limited","2","Cars24","Electronic City Bangalore","25","Karnataka","Mr. Ashwin Agrawal","2978646536","","32","maker","33","checker","Active","1"
"19","7","Cars24 Services Private Limited","2","Cars24","Bejai Mangalore","25","Karnataka","Mr. Ashwin Agrawal","2978646536","","32","maker","33","checker","Active","1"
"20","7","Cars24 Services Private Limited","2","Cars24","HSR Layout Bangalore","25","Karnataka","Mr. Ashwin Agrawal","2978646536","","32","maker","33","checker","Active","1"
"21","7","Cars24 Services Private Limited","2","Cars24","HBR Layout Bangalore","25","Karnataka","Mr. Ashwin Agrawal","2978646536","","32","maker","33","checker","Active","1"
"22","7","Cars24 Services Private Limited","2","Cars24","Malleshwaram Bangalore","25","Karnataka","Mr. Ashwin Agrawal","2978646536","","32","maker","33","checker","Active","1"
"23","7","Cars24 Services Private Limited","2","Cars24","Domular Layout Bangalore","25","Karnataka","Mr. Ashwin Agrawal","2978646536","","32","maker","33","checker","Active","1"
"24","7","Cars24 Services Private Limited","2","Cars24","Banashankari Bangalore","25","Karnataka","Mr. Ashwin Agrawal","2978646536","","32","maker","33","checker","Active","1"
"25","7","Cars24 Services Private Limited","2","Cars24","Sector-3 Noida","4","Uttar Pradesh","Mr. Ashwin Agrawal","2978646536","","32","maker","33","checker","Active","1"
"26","7","Cars24 Services Private Limited","2","Cars24","Uthalsar Thane","22","Maharashtra","Mr. Ashwin Agrawal","2978646536","","32","maker","33","checker","Active","1"
"27","7","Cars24 Services Private Limited","2","Cars24","Kharadi Pune","22","Maharashtra","Mr. Ashwin Agrawal","2978646536","","32","maker","33","checker","Active","1"
"28","7","Cars24 Services Private Limited","2","Cars24","Balewadi Pune","22","Maharashtra","Mr. Ashwin Agrawal","2978646536","","32","maker","33","checker","Active","1"
"29","7","Cars24 Services Private Limited","2","Cars24","Bhandup West Mumbai","22","Maharashtra","Mr. Ashwin Agrawal","2978646536","","32","maker","33","checker","Active","1"
"30","7","Cars24 Services Private Limited","2","Cars24","Borivali West Mumbai","22","Maharashtra","Mr. Ashwin Agrawal","2978646536","","32","maker","33","checker","Active","1"
"31","7","Cars24 Services Private Limited","2","Cars24","Worli Mumbai","22","Maharashtra","Mr. Ashwin Agrawal","2978646536","","32","maker","33","checker","Active","1"
"32","7","Cars24 Services Private Limited","2","Cars24","Chembur Mumbai","22","Maharashtra","Mr. Ashwin Agrawal","2978646536","","32","maker","33","checker","Active","1"
"33","7","Cars24 Services Private Limited","2","Cars24","Vashi Navi Mumbai","22","Maharashtra","Mr. Ashwin Agrawal","2978646536","","32","maker","33","checker","Active","1"
"34","7","Cars24 Services Private Limited","2","Cars24","Bandra (West) Mumbai","22","Maharashtra","Mr. Ashwin Agrawal","2978646536","","32","maker","33","checker","Active","1"
"35","7","Cars24 Services Private Limited","2","Cars24","Heera Panna Mumbai","22","Maharashtra","Mr. Ashwin Agrawal","2978646536","","32","maker","33","checker","Active","1"
"36","7","Cars24 Services Private Limited","2","Cars24","Goregaon West Mumbai","22","Maharashtra","Mr. Ashwin Agrawal","2978646536","","32","maker","33","checker","Active","1"
"37","7","Cars24 Services Private Limited","2","Cars24","Railway Road Faridabad","29","Haryana","Mr. Ashwin Agrawal","2978646536","","32","maker","33","checker","Active","1"
"38","7","Cars24 Services Private Limited","2","Cars24","DLF Phase-2 Station Gurgaon","29","Haryana","Mr. Ashwin Agrawal","2978646536","","32","maker","33","checker","Active","1"
"39","7","Cars24 Services Private Limited","2","Cars24","NineX City Mart Mall Gurgaon","29","Haryana","Mr. Ashwin Agrawal","2978646536","","32","maker","33","checker","Active","1"
"40","7","Cars24 Services Private Limited","2","Cars24","Tighra Village Gurgaon","29","Haryana","Mr. Ashwin Agrawal","2978646536","","32","maker","33","checker","Active","1"
"41","7","Cars24 Services Private Limited","2","Cars24","Sector-44 Gurgaon","29","Haryana","Mr. Ashwin Agrawal","2978646536","","32","maker","33","checker","Active","1"
"42","6","Fujifilm India Private Limited","1","Fujifilm","New Delhi","16","Delhi","","2978646536","","32","maker","33","checker","Active","1"
"43","6","Fujifilm India Private Limited","1","Fujifilm","Mumbai","22","Maharashtra","","2978646536","","32","maker","33","checker","Active","1"
"44","6","Fujifilm India Private Limited","1","Fujifilm","Zirakpur","9","Punjab","","2978646536","","32","maker","33","checker","Active","1"
"45","6","Fujifilm India Private Limited","1","Fujifilm","Kolkata","2","West Bengal","","2978646536","","32","maker","33","checker","Active","1"
"46","6","Fujifilm India Private Limited","1","Fujifilm","Bangalore","25","Karnataka","","2978646536","","32","maker","33","checker","Active","1"
"47","6","Fujifilm India Private Limited","1","Fujifilm","Gurgaon","29","Haryana","","2978646536","","32","maker","33","checker","Active","1"
