ContractorID,Name,Address,Contact_Person,Contact_Number,Email,PF_Code,ESI_Code,IsActText,IsAct
"2","Quess Corp Pvt. Limited","Shahibabad-UP","","0","","","","Active","1"
"3","SIS","Shahibabad-UP","","0","","","","Active","1"
"4","Contractor B","","","0","","","","Active","1"
"5","Contractor A","","","0","","","","Active","1"
"6","Personal Touch ServicesIndia Private Limited","18 2nd Floor Campbell Road Viveknagar Post Bangalore-560047","","","","BGBNG0041479000","","Active","1"
"7","Mynd Solution Private Limited","Plot No-280 Udyog Vihar-IV Gurgaon-122015","Ganesh Keshari","9971477546","","DSNHP0033617000","","Active","1"
"8","Ranstad India Private Limited","Randstad house old no.5 & 5A new no.9 pycrofts garden road Chennai-600006","","","","","","Active","1"
"9","Sodexo Food Solutions India Private Limited","B-21 2nd Floor Sector 58 Noida (U.P) - 201301","","","","MHBAN0044256000","","Active","1"
"10","Deneb & Polluxe Tours & Travels Private Limited","106-107 South City Arcade South City 1 Gurgaon -122001 Haryana","","","","GNGGN0025989000","","Active","1"
"11","G4S Secure Solution(India) Private Limited","Plot 136 Rider House 2nd Floor Sector 44 Gurgaon 122003","","","","GNGGN0009693000","","Active","1"
"12","Nouvel Facilities Private Limited","276-C Masjid Moth NDSE-II New Delhi-110049","","","","DSNHP0019451000","","Active","1"
"13","Genius Consultants Limited","H-9/1 1st Floor Block B-1  Mohan co-operative Industrial Estate Near Haldiram  Mathura Road New Delhi-110044","","","","PYKRP0052927000","","Active","1"
"14","CBRE South Asia Private Limited","19th Floor DLF Square Building Jacaranda Marg DLF Phase II Gurgaon 122002 India","","","","DLCPM0019471000","","Active","1"
"15","Bharat Intratel Ltd.","JLL Tower -B 3rd Floor 78 Institutional Area Sectro-18 Gujarat","","","","","","Active","1"
"16","Hungama Digital Media Entertainment Pvt. Ltd.","B-2 Sector-7 Noida UP","Ankur Yadav","","","","","Active","1"
"17","One97 Communication Pvt.Ltd.","B-121 Sector-5 Noida","","","","","","Active","1"
"18","Knowledge Management Solution","B-1 2&3 Kanha Chamber Opp.Allahabad Bank University Road Meerut-250001","","","","","","Active","1"
"19","Smarteck BPO Services Pvt.Ltd","D-2217 Indra Nagar Lucknow-226016","","","","","","Active","1"
"20","Security and Intelligence Services of India Limited","2829 Okhala Ind Area Phase-I New Delhi","Anil Khowal","9643174250","","","","Active","1"
"21","Viom Network Limited","VIOM Tower Plot No.14A Sec18 Maruti Industrial Complex Gurgaon-122025","KSHITIJ KHATAVKAR","992990518","","","","Active","1"
"22","Indus Tower Limited","4th Floor Tower-A Building No-10 DLF Cyber City Gurgaon-122002","Pritpal Singh","","","","","Active","1"
"23","Wipro Infotech Ltd.","Plot No.480-481 Udyog Vihar Phase-III Gurgaon-Haryana-122002","sanjeet.pandey","","","","","Active","1"
"24","Crescent Records Management Pvt.Ltd.","A wing 3rd Floor Sagar Complex Kasarwadi Pune-34","Azhar Quazi","","","","","Active","1"
"25","Manpower Group Services(India) Pvt.Ltd.","Nagpur","Sujata Vidhani","9175166661","","","","Active","1"
"26","Inductus consultants (P)Ltd.","311 N.P.Center new Dakbunglow road Patna-800001","Mr.Ganesh Pandey","9599689402","","","","Active","1"
"27","Ecos (India) Mobility & Hospitality Pvt. Ltd.","Bldg. 221 (Ground Floor) Okhla Industrial Estate Phase-3 New Delhi-110020 India","Dalbir Singh","9711596760","","","","Active","1"
"28","IMImobile","IMImobile Pvt Ltd Plot no 770 Road No 44 Jubilee Hills Hyderabad 500033","","8800923666","","","","Active","1"
"29","Vijay Security","F 12/1 DLF Phase-1 Gurgaon","Shrivats Roy","9910413333","","","","Active","1"
"30","ZTE Telecom India Pvt. Ltd.","6th Floor Building 10 B DLF Cyber City. Phase-2 Gurgaon","Rajneesh Arora","9811998186","","","","Active","1"
"31","Spice Digital","S Global Knowledge Park 19A & 19B Sector 125 Noida Uttar Pradesh-201301","Paras Nayar","9899971983","","","","Active","1"
"32","Mercurius Advisory Services Private Ltd","C-7/ 227 Sec-7 Rohini Delhi-110085","","9810661322","","","","Active","1"
"33","SAP Telecom Services","C-4E/135 Janak Puri New Delhi","","9540007506","","","","Active","1"
"34","Mynd Solutions Pvt. Ltd.","280 Udyog Vihar Phase-IV Gurgaon","Ganesh Keshari","9971477546","","","","Active","1"
"35","Deneb & Pollux Tours & Travels Pvt Ltd.","106 FF South City Arcade South City-1 Gurgaon- 122001","Dalbir Singh","9711596760","","","","Active","1"
"36","Infiniti Travel Services","First floor Mount Casa Blanca 260 Anna Salai Next To Raj Video Vision Chennai - 600006","Dalbir Singh","9711596760","","","","Active","1"
"37","Wipro Limited","Plot No. 480-481 Udyog Vihar Phase III Gurgaon - 122001","sanjeet.pandey","","","","","Active","1"
"38","ADP India Private Ltd","Thamarai Tech Park S.P. Plot No. 16 To 20  20A Thiru Vi Ka Industrial Estate Inner Ring Road Guindy  Chennai 600032","Anil Agarwal","0","","","","Active","1"
"39","Harmony Food Works","UG 008 South Point Mall Golf Course Road Sec - 53 Gurgaon","Vikram","9582158017","","","","Active","1"
"40","Lumata Digital India Pvt. Ltd.","9A Block B & C Green Boulevard Sector 62 Noida Uttar Pradesh","Aditya Singhal","9013044443","","","","Active","1"
"41","Ericsson India Pvt.Ltd.","Ericsson Forum DLF Cybercity Sec. 25A Gurgaon","Arpita","9871374874","","","","Active","1"
"42","Aparajitha Corporate Services Pvt. Ltd.","5A Rathinasamy Nadar Street BB Kulam Madurai ? 625002","Deepak","9711499891","","","","Active","1"
"43","Onmobile Global Limited","26 Bannerghatta Road J. P. Nagar Phase III Bangalore - 560076","Prashant pant'","9818993138","","","","Active","1"
"44","TeleDNA Communications Private Limited","No. 23 & 24 2nd Floor AMR Tech Park Hosur Road Bangalore - 560068\","gyanesh","9999465653","","","","Active","1"
"45","SoftAge Information Technology Limited","28A/10 Jia Sarai Hauz Khas New Delhi-110016","Mukesh Kashyap","9727742915","","","","Active","1"
"46","Dalkia (EFS)Facility Services India Pvt.Ltd.","Uppals Plaza Unit-2 M-6 2nd Floor Jasola New Delhi-110025","Vikram","","","","","Active","1"
"47","Huawai Telecommunication (Indai) Co.Pvt.Ltd.","8th Floor Tower-A Space IT Park Sohana Road Sector-49 Gurgaon","","0","","","","Active","1"
"48","Modern business Solution","Ground Floor Raja Complex Near Vijay Cross Road Navrangpura Ahmedabad-380009","Hasmukh Devani","","","","","Active","1"
"49","World Class Services Pvt.Ltd.","Plot No-13 Section-18 electronic city Gurgaon Haryana","Vikram","9582158017","","","","Active","1"
"50","Teamlease Services Pvt.Ltd.","6th floor BMTC commercial Complex 80ft road Koramangala Bangalore-560095","Santosh","","","","","Active","1"
"51","Alcatel Lucent India (P) Ltd.","Plot -25 Electronic City Sector-18 Udyog Vihar Phase-v Gurgaon-122015 Haryana","Bhaumik Patel","9687630670","","","","Active","1"
