DOCID,Site,Contractor,Act,Activity,Date_Of_Month,Month,Year,RemindDays,IsActive,Maker,Checker
"0","Mumbai","PE","Apprentices Act","A","5","1","2015","0","1","",""
"0","Mumbai","PE","Apprentices Act","Half Yearly (Form APP-2 Details of new apprentics)","30","4","2015","0","1","",""
"0","Mumbai","PE","Apprentices Act","Half Yearly (Form APP-3 notice of completion of training)","30","4","","0","1","",""
"0","Mumbai","PE","Apprentices Act","Return","31","2","","0","1","",""
"0","Mumbai","PE","Boilers Act","Annual Report","0","","","0","1","",""
"0","Mumbai","PE","Bonus Act","Form A Computation of Allocable Surplus","31","10","","0","1","",""
"0","Mumbai","PE","Bonus Act","Form B Set -on and set-off of Allocable Surplus","31","10","","0","1","",""
"0","Mumbai","PE","Bonus Act","Form C Register of Bonus Paid to Employees","30","11","","0","1","",""
"0","Mumbai","PE","Bonus Act","Form D Annual Return","31","12","","0","1","",""
"0","Mumbai","ADP India Private Ltd","Apprentices Act","A","5","1","2015","0","1","",""
"0","Mumbai","ADP India Private Ltd","Apprentices Act","Half Yearly (Form APP-2 Details of new apprentics)","30","4","2015","0","1","",""
"0","Mumbai","ADP India Private Ltd","Apprentices Act","Half Yearly (Form APP-3 notice of completion of training)","30","4","","0","1","",""
"0","Mumbai","ADP India Private Ltd","Apprentices Act","Return","31","2","","0","1","",""
"0","Mumbai","ADP India Private Ltd","Boilers Act","Annual Report","0","","","0","1","",""
"0","Mumbai","ADP India Private Ltd","Bonus Act","Form A Computation of Allocable Surplus","31","10","","0","1","",""
"0","Mumbai","ADP India Private Ltd","Bonus Act","Form B Set -on and set-off of Allocable Surplus","31","10","","0","1","",""
"0","Mumbai","ADP India Private Ltd","Bonus Act","Form C Register of Bonus Paid to Employees","30","11","","0","1","",""
"0","Mumbai","ADP India Private Ltd","Bonus Act","Form D Annual Return","31","12","","0","1","",""
"0","New Delhi","PE","Apprentices Act","A","5","1","2015","0","1","",""
"0","New Delhi","PE","Apprentices Act","Half Yearly (Form APP-2 Details of new apprentics)","30","4","2015","0","1","",""
"0","New Delhi","PE","Apprentices Act","Half Yearly (Form APP-3 notice of completion of training)","30","4","","0","1","",""
"0","New Delhi","PE","Apprentices Act","Return","31","2","","0","1","",""
"0","New Delhi","PE","Boilers Act","Annual Report","0","","","0","1","",""
"0","New Delhi","PE","Bonus Act","Form A Computation of Allocable Surplus","31","10","","0","1","",""
"0","New Delhi","PE","Bonus Act","Form B Set -on and set-off of Allocable Surplus","31","10","","0","1","",""
"0","New Delhi","PE","Bonus Act","Form C Register of Bonus Paid to Employees","30","11","","0","1","",""
"0","New Delhi","PE","Bonus Act","Form D Annual Return","31","12","","0","1","",""
"0","New Delhi","ADP India Private Ltd","Apprentices Act","A","5","1","2015","0","1","",""
"0","New Delhi","ADP India Private Ltd","Apprentices Act","Half Yearly (Form APP-2 Details of new apprentics)","30","4","2015","0","1","",""
"0","New Delhi","ADP India Private Ltd","Apprentices Act","Half Yearly (Form APP-3 notice of completion of training)","30","4","","0","1","",""
"0","New Delhi","ADP India Private Ltd","Apprentices Act","Return","31","2","","0","1","",""
"0","New Delhi","ADP India Private Ltd","Boilers Act","Annual Report","0","","","0","1","",""
"0","New Delhi","ADP India Private Ltd","Bonus Act","Form A Computation of Allocable Surplus","31","10","","0","1","",""
"0","New Delhi","ADP India Private Ltd","Bonus Act","Form B Set -on and set-off of Allocable Surplus","31","10","","0","1","",""
"0","New Delhi","ADP India Private Ltd","Bonus Act","Form C Register of Bonus Paid to Employees","30","11","","0","1","",""
"0","New Delhi","ADP India Private Ltd","Bonus Act","Form D Annual Return","31","12","","0","1","",""
"0","Zirakpur","PE","Apprentices Act","A","5","1","2015","0","1","",""
"0","Zirakpur","PE","Apprentices Act","Half Yearly (Form APP-2 Details of new apprentics)","30","4","2015","0","1","",""
"0","Zirakpur","PE","Apprentices Act","Half Yearly (Form APP-3 notice of completion of training)","30","4","","0","1","",""
"0","Zirakpur","PE","Apprentices Act","Return","31","2","","0","1","",""
"0","Zirakpur","PE","Boilers Act","Annual Report","0","","","0","1","",""
"0","Zirakpur","PE","Bonus Act","Form A Computation of Allocable Surplus","31","10","","0","1","",""
"0","Zirakpur","PE","Bonus Act","Form B Set -on and set-off of Allocable Surplus","31","10","","0","1","",""
"0","Zirakpur","PE","Bonus Act","Form C Register of Bonus Paid to Employees","30","11","","0","1","",""
"0","Zirakpur","PE","Bonus Act","Form D Annual Return","31","12","","0","1","",""
"0","Zirakpur","ADP India Private Ltd","Apprentices Act","A","5","1","2015","0","1","",""
"0","Zirakpur","ADP India Private Ltd","Apprentices Act","Half Yearly (Form APP-2 Details of new apprentics)","30","4","2015","0","1","",""
"0","Zirakpur","ADP India Private Ltd","Apprentices Act","Half Yearly (Form APP-3 notice of completion of training)","30","4","","0","1","",""
"0","Zirakpur","ADP India Private Ltd","Apprentices Act","Return","31","2","","0","1","",""
"0","Zirakpur","ADP India Private Ltd","Boilers Act","Annual Report","0","","","0","1","",""
"0","Zirakpur","ADP India Private Ltd","Bonus Act","Form A Computation of Allocable Surplus","31","10","","0","1","",""
"0","Zirakpur","ADP India Private Ltd","Bonus Act","Form B Set -on and set-off of Allocable Surplus","31","10","","0","1","",""
"0","Zirakpur","ADP India Private Ltd","Bonus Act","Form C Register of Bonus Paid to Employees","30","11","","0","1","",""
"0","Zirakpur","ADP India Private Ltd","Bonus Act","Form D Annual Return","31","12","","0","1","",""
