DocID,Site,Contractor,Act,Activity,StartDate,RemindDays,IsActive,Maker,Checker
"251","Dwarka New Delhi","ADP India Private Ltd","Apprentices Act","A","05/01/2017","0","1","33","33"
"252","Dwarka New Delhi","ADP India Private Ltd","Apprentices Act","Half Yearly (Form APP-2 Details of new apprentics)","30/04/2017","0","1","33","33"
"253","Dwarka New Delhi","ADP India Private Ltd","Apprentices Act","Half Yearly (Form APP-3 notice of completion of training)","30/04/2017","0","1","33","33"
"254","Dwarka New Delhi","ADP India Private Ltd","Apprentices Act","Return","28/02/2017","0","1","33","33"
"255","Dwarka New Delhi","ADP India Private Ltd","Boilers Act","Annual Report","02/01/2017","0","1","33","33"
"115","East Patel Nagar Delhi","ADP India Private Ltd","Bonus Act","Form A Computation of Allocable Surplus","","0","1","33","33"
"116","East Patel Nagar Delhi","ADP India Private Ltd","Bonus Act","Form B Set -on and set-off of Allocable Surplus","","0","1","33","33"
"117","East Patel Nagar Delhi","ADP India Private Ltd","Bonus Act","Form C Register of Bonus Paid to Employees","","0","1","33","33"
"118","East Patel Nagar Delhi","ADP India Private Ltd","Bonus Act","Form D Annual Return","","0","1","33","33"
"119","East Patel Nagar Delhi","ADP India Private Ltd","CLRA - Cont","Form X Employment Card","","0","1","33","33"
"120","East Patel Nagar Delhi","ADP India Private Ltd","CLRA - Cont","Form XI Services Certificate","","0","1","33","33"
"121","East Patel Nagar Delhi","ADP India Private Ltd","CLRA - Cont","Form XIX Wage Slip","","0","1","33","33"
"122","East Patel Nagar Delhi","ADP India Private Ltd","CLRA - Cont","Form XVI Register of Employment","","0","1","33","33"
"123","East Patel Nagar Delhi","ADP India Private Ltd","CLRA - Cont","Form XVII Register of wages","","0","1","33","33"
"124","East Patel Nagar Delhi","ADP India Private Ltd","CLRA - Cont","Form XX Register of Deductions for Damage or Loss","","0","1","33","33"
"125","East Patel Nagar Delhi","ADP India Private Ltd","CLRA - Cont","Form XXI Register of Fines","","0","1","33","33"
"126","East Patel Nagar Delhi","ADP India Private Ltd","CLRA - Cont","Form XXII Register of Advances","","0","1","33","33"
"127","East Patel Nagar Delhi","ADP India Private Ltd","CLRA - Cont","Form XXIII Register of Over Times","","0","1","33","33"
"128","East Patel Nagar Delhi","ADP India Private Ltd","CLRA - Cont","From XIII Register of workmen by Contractor","","0","1","33","33"
"129","East Patel Nagar Delhi","ADP India Private Ltd","CLRA - Cont","Obtaining of License as a CONTRACTOR","","0","1","33","33"
"130","East Patel Nagar Delhi","ADP India Private Ltd","CLRA - Cont","Status of Form V","","0","1","33","33"
"131","East Patel Nagar Delhi","ADP India Private Ltd","CLRA - Cont","Submission of Form VI-A (commencement of work)","","0","1","33","33"
"132","East Patel Nagar Delhi","ADP India Private Ltd","CLRA - Cont","Submission of Returns","","0","1","33","33"
"133","East Patel Nagar Delhi","ADP India Private Ltd","CLRA - PE","Principal Employer Registration/Renewal/Amendments","","0","1","33","33"
"134","East Patel Nagar Delhi","ADP India Private Ltd","CLRA - PE","Register Maintenance","","0","1","33","33"
"135","East Patel Nagar Delhi","ADP India Private Ltd","CLRA - PE","Submission of Form VI-B","","0","1","33","33"
"136","East Patel Nagar Delhi","ADP India Private Ltd","CLRA - PE","Submission of Returns","","0","1","33","33"
"181","Rohini New Delhi","ADP India Private Ltd","Bonus Act","Form A Computation of Allocable Surplus","","0","1","33","33"
"182","Rohini New Delhi","ADP India Private Ltd","Bonus Act","Form B Set -on and set-off of Allocable Surplus","","0","1","33","33"
"183","Rohini New Delhi","ADP India Private Ltd","Bonus Act","Form C Register of Bonus Paid to Employees","","0","1","33","33"
"184","Rohini New Delhi","ADP India Private Ltd","Bonus Act","Form D Annual Return","","0","1","33","33"
"185","Rohini New Delhi","ADP India Private Ltd","CLRA - Cont","Form X Employment Card","","0","1","33","33"
"186","Rohini New Delhi","ADP India Private Ltd","CLRA - Cont","Form XI Services Certificate","","0","1","33","33"
"187","Rohini New Delhi","ADP India Private Ltd","CLRA - Cont","Form XIX Wage Slip","","0","1","33","33"
"188","Rohini New Delhi","ADP India Private Ltd","CLRA - Cont","Form XVI Register of Employment","","0","1","33","33"
"189","Rohini New Delhi","ADP India Private Ltd","CLRA - Cont","Form XVII Register of wages","","0","1","33","33"
"190","Rohini New Delhi","ADP India Private Ltd","CLRA - Cont","Form XX Register of Deductions for Damage or Loss","","0","1","33","33"
"191","Rohini New Delhi","ADP India Private Ltd","CLRA - Cont","Form XXI Register of Fines","","0","1","33","33"
"192","Rohini New Delhi","ADP India Private Ltd","CLRA - Cont","Form XXII Register of Advances","","0","1","33","33"
"193","Rohini New Delhi","ADP India Private Ltd","CLRA - Cont","Form XXIII Register of Over Times","","0","1","33","33"
"194","Rohini New Delhi","ADP India Private Ltd","CLRA - Cont","From XIII Register of workmen by Contractor","","0","1","33","33"
"195","Rohini New Delhi","ADP India Private Ltd","CLRA - Cont","Obtaining of License as a CONTRACTOR","","0","1","33","33"
"196","Rohini New Delhi","ADP India Private Ltd","CLRA - Cont","Status of Form V","","0","1","33","33"
"197","Rohini New Delhi","ADP India Private Ltd","CLRA - Cont","Submission of Form VI-A (commencement of work)","","0","1","33","33"
"198","Rohini New Delhi","ADP India Private Ltd","CLRA - Cont","Submission of Returns","","0","1","33","33"
"199","Rohini New Delhi","ADP India Private Ltd","CLRA - PE","Principal Employer Registration/Renewal/Amendments","","0","1","33","33"
"200","Rohini New Delhi","ADP India Private Ltd","CLRA - PE","Register Maintenance","","0","1","33","33"
"201","Rohini New Delhi","ADP India Private Ltd","CLRA - PE","Submission of Form VI-B","","0","1","33","33"
"202","Rohini New Delhi","ADP India Private Ltd","CLRA - PE","Submission of Returns","","0","1","33","33"
