FrequencyID,Frequency,IsAct,IsActNm
"1","Half Yearly","True","Active"
"2","Periodic","True","Active"
"3","Once In Two Year","True","Active"
"4","Daily","True","Active"
"5","Weekly","True","Active"
"6","Quarterly","True","Active"
"7","Yearly","True","Active"
"8","Monthly","True","Active"
"9","As Needed","True","Active"
"10","Testing from front_test","True","Active"
"11","Final Test Frequency","True","Active"
"12","Delete after testing","True","Active"
"13","Test Frequency","False","In Active"
"14","Testing from excel","True","Active"
