CustID,Name,Code,IsActText,IsAct
"1","Fujifilm","09988","In Active","0"
"2","Cars24","0098","Active","1"
"3","Macmillan Publishers","00988","Active","1"
"7","Alcatel Lucent","11","Active","1"
"8","JCB","11","Active","1"
"9","Keysight","1","Active","1"
"10","Aapt Outsourcing Solutions Pvt Ltd","1","Active","1"
"11","Reliance","1","Active","1"
"12","Micromax Informatics Ltd","1","Active","1"
"13","Telenor India","1","Active","1"
"14","XYZ Private Limited","1","Active","1"
"15","Mynd Test","1","Active","1"
"19","Feedback","1","Active","1"
