SiteID,Company,Customer,Name,State,Contact_Person,Contact_Number,Address,Maker,Checker,Status
"1","Mynd","Test Customer","Delhi","Delhi","","","280, Udyog Vihar, Phase IV, Sector 18, Udyog Vihar Phase IV, Sector 18, Gurugram, Haryana 122008, India","","","Active"
"2","Mynd","Test Customer","Kolkata","West Bengal","","","Kolkata, West Bengal, India","","","Active"
"3","Mynd","Test Customer","Mumbai","Maharashtra","","","","","","Active"
"4","Mynd","Test Customer","Chennai","Tamil Nadu","","","Poonamallee High Rd, Poongavanapuram, Chennai, Tamil Nadu 600003, India","","","Active"
"9","Micromax Informatics Limited","MicroMax","Naraina","Delhi","","","Naraina, New Delhi, Delhi, India","","","Active"
"10","Micromax Informatics Limited","MicroMax","Mayapuri","Delhi","","","Mayapuri, New Delhi, Delhi, India","","","Active"
"11","Micromax Informatics Limited","MicroMax","Mumbai","Maharashtra","","","Mumbai, Maharashtra, India","","","Active"
"12","Micromax Informatics Limited","MicroMax","Bangaluru","Karnataka","","","Bengaluru, Karnataka, India","","","Active"
"13","Micromax Informatics Limited","MicroMax","Chennai","Tamil Nadu","","","Chennai, Tamil Nadu, India","","","Active"
"14","Micromax Informatics Limited","MicroMax","90B Gurgaon","Haryana","","","Gurugram, Haryana, India","","","Active"
"15","Micromax Informatics Limited","MicroMax","B34 Gurgaon","Haryana","","","Gurugram, Haryana, India","","","Active"
"16","Micromax Informatics Limited","MicroMax","Kolkata","West Bengal","","","Kolkata, West Bengal, India","","","Active"
"18","Test Mentor","Mynd Cust","Noida","Uttar Pradesh","Sonal","","Sector 127, Noida, Uttar Pradesh 201301, India","","","Active"
"22","CAIRN INDIA LIMITED","CAIRN","GURGAON CORPORATE OFFICE","Haryana","","","DLF Atria, Gulmohar Marg, DLF Phase 2, Sector 25, Gurugram, Haryana 122002, India","maker","checker","Active"
"23","CAIRN INDIA LIMITED","CAIRN","JAMNAGAR","Gujarat","","","3rd Floor, Silver Plaza, 7, Street Number 7, Patel Colony, Jamnagar, Gujarat 361008, India","maker","checker","Active"
"24","CAIRN INDIA LIMITED","CAIRN","JAIPUR","Rajasthan","","","430, SMS Rooms and Convention Center, Tonk Road, Rambagh, Jaipur, Rajasthan 302052, India","maker","checker","Active"
