StateID,Country,Name,Geofence,Status
"21","India","Andaman and Nicobar Islands","","Active"
"36","India","Andhra Pradesh","","Active"
"35","India","Arunachal Pradesh","","Active"
"34","India","Assam","","Active"
"33","India","Bihar","","Active"
"20","India","Chandigarh","","Active"
"32","India","Chhattisgarh","","Active"
"19","India","Dadar and Nagar Haveli","","Active"
"18","India","Daman and Diu","","Active"
"16","India","Delhi","","Active"
"31","India","Goa","","Active"
"30","India","Gujarat","","Active"
"29","India","Haryana","","Active"
"28","India","Himachal Pradesh","","Active"
"27","India","Jammu & Kashmir","","Active"
"26","India","Jharkhand","","Active"
"25","India","Karnataka","","Active"
"24","India","Kerala","","Active"
"17","India","Lakshadweep","","Active"
"23","India","Madhya Pradesh","","Active"
"22","India","Maharashtra","","Active"
"14","India","Manipur","","Active"
"13","India","Meghalaya","","Active"
"12","India","Mizoram","","Active"
"11","India","Nagaland","","Active"
"37","India","New Uttar Pradesh","","In Active"
"15","India","Orissa","","Active"
"10","India","Pondicherry","","Active"
"9","India","Punjab","","Active"
"8","India","Rajasthan","","Active"
"7","India","Sikkim","","Active"
"6","India","Tamil Nadu","","Active"
"1","India","Telangana","","Active"
"5","India","Tripura","","Active"
"4","India","Uttar Pradesh","","Active"
"3","India","Uttarakhand","","Active"
"2","India","West Bengal","","Active"
