MappingID,Company,Site,Act,Activity,Contractor
"18248","Mentor Graphics India Pvt. Ltd.","Mahadevapura","Employ Comp.","Submission of Returns",""
"18257","Mentor Graphics India Pvt. Ltd.","Mahadevapura","Gratuity","Form L '- Notice for Payment of Gratuity to Individuals",""
"18289","Mentor Graphics India Pvt. Ltd.","Kolkata","Employ Comp.","Submission of Returns",""
"18298","Mentor Graphics India Pvt. Ltd.","Kolkata","Gratuity","Form L '- Notice for Payment of Gratuity to Individuals",""
"18330","Mentor Graphics India Pvt. Ltd.","Hyderabad","Employ Comp.","Submission of Returns",""
"18339","Mentor Graphics India Pvt. Ltd.","Hyderabad","Gratuity","Form L '- Notice for Payment of Gratuity to Individuals",""
"18371","Mentor Graphics India Pvt. Ltd.","Noida Sec 127","Employ Comp.","Submission of Returns",""
"18380","Mentor Graphics India Pvt. Ltd.","Noida Sec 127","Gratuity","Form L '- Notice for Payment of Gratuity to Individuals",""
"18412","Mentor Graphics India Pvt. Ltd.","Noida Sec 126","Employ Comp.","Submission of Returns",""
"18421","Mentor Graphics India Pvt. Ltd.","Noida Sec 126","Gratuity","Form L '- Notice for Payment of Gratuity to Individuals",""
"18537","Calypto Design Systems (I) Pvt. Ltd.","Noida","Employ Comp.","Submission of Returns",""
"18547","Calypto Design Systems (I) Pvt. Ltd.","Noida","Gratuity","Form L '- Notice for Payment of Gratuity to Individuals",""
"20174","IDP Education India Pvt. Ltd.","Ahmedabad","Employ Comp.","Submission of Returns",""
"20187","IDP Education India Pvt. Ltd.","Ahmedabad","Gratuity","Form L '- Notice for Payment of Gratuity to Individuals",""
"20193","IDP Education India Pvt. Ltd.","Ahmedabad","LWF","Remittance Returns cum Challans",""
"20223","IDP Education India Pvt. Ltd.","Amritsar","Employ Comp.","Submission of Returns",""
"20236","IDP Education India Pvt. Ltd.","Amritsar","Gratuity","Form L '- Notice for Payment of Gratuity to Individuals",""
"20242","IDP Education India Pvt. Ltd.","Amritsar","LWF","Remittance Returns cum Challans",""
"20269","IDP Education India Pvt. Ltd.","Bangalore","Employ Comp.","Submission of Returns",""
"20282","IDP Education India Pvt. Ltd.","Bangalore","Gratuity","Form L '- Notice for Payment of Gratuity to Individuals",""
"20288","IDP Education India Pvt. Ltd.","Bangalore","LWF","Remittance Returns cum Challans",""
"20318","IDP Education India Pvt. Ltd.","Chandigarh","Employ Comp.","Submission of Returns",""
"20331","IDP Education India Pvt. Ltd.","Chandigarh","Gratuity","Form L '- Notice for Payment of Gratuity to Individuals",""
"20337","IDP Education India Pvt. Ltd.","Chandigarh","LWF","Remittance Returns cum Challans",""
"20372","IDP Education India Pvt. Ltd.","Chennai","Employ Comp.","Submission of Returns",""
"20385","IDP Education India Pvt. Ltd.","Chennai","Gratuity","Form L '- Notice for Payment of Gratuity to Individuals",""
"20391","IDP Education India Pvt. Ltd.","Chennai","LWF","Remittance Returns cum Challans",""
"20421","IDP Education India Pvt. Ltd.","Cochin","Employ Comp.","Submission of Returns",""
"20434","IDP Education India Pvt. Ltd.","Cochin","Gratuity","Form L '- Notice for Payment of Gratuity to Individuals",""
"20440","IDP Education India Pvt. Ltd.","Cochin","LWF","Remittance Returns cum Challans",""
"20470","IDP Education India Pvt. Ltd.","Coimbatore","Employ Comp.","Submission of Returns",""
"20483","IDP Education India Pvt. Ltd.","Coimbatore","Gratuity","Form L '- Notice for Payment of Gratuity to Individuals",""
"20489","IDP Education India Pvt. Ltd.","Coimbatore","LWF","Remittance Returns cum Challans",""
"20519","IDP Education India Pvt. Ltd.","Gurgaon 32 5th Floor","Employ Comp.","Submission of Returns",""
"20532","IDP Education India Pvt. Ltd.","Gurgaon 32 5th Floor","Gratuity","Form L '- Notice for Payment of Gratuity to Individuals",""
"20538","IDP Education India Pvt. Ltd.","Gurgaon 32 5th Floor","LWF","Remittance Returns cum Challans",""
"20565","IDP Education India Pvt. Ltd.","Gurgaon 32 6th Floor","Employ Comp.","Submission of Returns",""
"20578","IDP Education India Pvt. Ltd.","Gurgaon 32 6th Floor","Gratuity","Form L '- Notice for Payment of Gratuity to Individuals",""
"20584","IDP Education India Pvt. Ltd.","Gurgaon 32 6th Floor","LWF","Remittance Returns cum Challans",""
"20611","IDP Education India Pvt. Ltd.","Gurgaon 61","Employ Comp.","Submission of Returns",""
"20625","IDP Education India Pvt. Ltd.","Gurgaon 61","Gratuity","Form L '- Notice for Payment of Gratuity to Individuals",""
