DocID,Site,Act,Activity,Frequency,NextDueDate,RemindDays,IsActive,Maker,Checker
892,90B Gurgaon,Employ Comp.,Submission of Returns,Yearly,31/01/2018,0,1,,
894,90B Gurgaon,Employment Exch.,Notification/Intimation of Vacancy ( 15 days prior to interview ),As Needed,,0,1,,
893,90B Gurgaon,Employment Exch.,Occupational Biannual Return (ER-II),Once In Two Year,30/10/2017,15,1,,
895,90B Gurgaon,Employment Exch.,Quarterly Return (ER-I),Quarterly,30/07/2017,10,1,,
897,90B Gurgaon,ESI,Accident Report,As Needed,,0,1,,
901,90B Gurgaon,ESI,Annual Information (Form 01A),Yearly,30/04/2018,10,0,,
900,90B Gurgaon,ESI,Registration,As Needed,,0,1,,
902,90B Gurgaon,Gratuity,Form A Notice of Opening,As Needed,,0,1,,
903,90B Gurgaon,Gratuity,Form B If Any Change Occurred,As Needed,,0,1,,
906,90B Gurgaon,LWF,Annual Return,Yearly,31/01/2018,10,0,,
909,90B Gurgaon,LWF,Registration if Applicable,As Needed,,0,0,,
910,90B Gurgaon,LWF,Remittance Returns cum Challans,Yearly,31/01/2018,5,1,,
917,90B Gurgaon,National  Festival Holidays,Annual Return (as applicable),Yearly,31/01/2018,10,1,,
918,90B Gurgaon,National  Festival Holidays,Display List of Holiday,Yearly,31/12/2017,10,1,,
919,90B Gurgaon,National  Festival Holidays,Register of Leave,Monthly,25/01/2018,5,0,,
926,90B Gurgaon,PF,Registration,As Needed,,0,1,,
927,90B Gurgaon,PF,Transfer,As Needed,,0,0,,
928,90B Gurgaon,PF,Withdrawal,As Needed,,0,0,,
929,90B Gurgaon,Professional Tax,Registration,As Needed,,0,0,,
930,90B Gurgaon,Professional Tax,Remittance Monthly/Half Yearly/Annual,Monthly,28/01/2017,20,0,,
931,90B Gurgaon,Professional Tax,Returns under the Act,Monthly,28/01/2017,20,0,,
932,90B Gurgaon,Prohibition of Smoking,Notice Display,As Needed,,0,1,,
933,90B Gurgaon,S and E,Employment Register,Monthly,25/07/2017,5,1,,
