DocID,Site,Act,Activity,Frequency,NextDueDate,EffectiveDate,RemindDays,IsActive,Maker,Checker,Response,Message
18896,Ahmedabad,Bonus Act,Form A Computation of Allocable Surplus,Yearly,31/10/2017,,20,0,,,Failed,Invalid Data Format
18897,Ahmedabad,Bonus Act,Form B Set '-on and set'-off of Allocable Surplus,Yearly,31/10/2017,,20,0,,,Failed,Invalid Data Format
18898,Ahmedabad,Bonus Act,Form C Register of Bonus Paid to Employees,Yearly,30/11/2017,,90,0,,,Failed,Invalid Data Format
18899,Ahmedabad,Bonus Act,Form D Annual Return,Yearly,31/12/2017,,20,0,,,Failed,Invalid Data Format
18657,Ahmedabad,Bonus Act,Time Limit for Payment of Bonus,As Needed,,,0,0,,,Failed,Invalid Data Format
18900,Ahmedabad,Child Labour,Disply of Notice/Abstract,As Needed,,,0,1,,,Failed,Invalid Data Format
18658,Ahmedabad,Employ Comp.,Submission of Returns,Yearly,31/01/2018,,0,1,,,Failed,Invalid Data Format
18659,Ahmedabad,Employment Exch.,Notification/Intimation of Vacancy ( 15 days prior to interview ),As Needed,,,0,0,,,Failed,Invalid Data Format
18901,Ahmedabad,Employment Exch.,Quarterly Return (ER'-I),Quarterly,29/04/2017,,10,0,,,Failed,Invalid Data Format
18903,Ahmedabad,Equal Remu.,Register Maintanence (Form D),Monthly,25/07/2017,,5,1,,,Failed,Invalid Data Format
18660,Ahmedabad,ESI,Accident Report,As Needed,,,0,1,,,Failed,Invalid Data Format
18904,Ahmedabad,ESI,Annual Information (Form 01A),Yearly,31/01/2018,,10,1,,,Failed,Invalid Data Format
18905,Ahmedabad,ESI,ESIC ECR,Monthly,21/07/2017,,10,1,,,Failed,Invalid Data Format
18906,Ahmedabad,ESI,Monthly Deposit,Monthly,21/07/2017,,10,1,,,Failed,Invalid Data Format
18661,Ahmedabad,ESI,Registration,As Needed,,,0,1,,,Failed,Invalid Data Format
18662,Ahmedabad,Gratuity,Display of abstract of acts and rules,As Needed,,,0,1,,,Failed,Invalid Data Format
18663,Ahmedabad,Gratuity,Form A Notice of Opening,As Needed,,,0,1,,,Failed,Invalid Data Format
18664,Ahmedabad,Gratuity,Form B If Any Change Occurred,As Needed,,,0,1,,,Failed,Invalid Data Format
18665,Ahmedabad,Gratuity,Form L '- Notice for Payment of Gratuity to Individuals,As Needed,,,0,1,,,Failed,Invalid Data Format
18666,Ahmedabad,Gratuity,Form'-C Notice of Closure,As Needed,,,0,1,,,Failed,Invalid Data Format
18907,Ahmedabad,LWF,Annual Return,Yearly,31/01/2018,,10,0,,,Failed,Invalid Data Format
18908,Ahmedabad,LWF,Register of Payment of Unclaimed Wages,Quarterly,25/07/2017,,10,1,,,Failed,Invalid Data Format
18909,Ahmedabad,LWF,Register of Wages,Monthly,25/07/2017,,5,1,,,Failed,Invalid Data Format
18667,Ahmedabad,LWF,Registration if Applicable,As Needed,,,0,1,,,Failed,Invalid Data Format
18668,Ahmedabad,LWF,Remittance Returns cum Challans,Half Yearly,25/07/2017,,5,1,,,Failed,Invalid Data Format
