SiteID,Site,Site_Code,Company,Customer,State,Location,Contact_Person,Contact_Number,Address,Maker,Checker,Status
"394","SG Palya '- Bangalore","Si_SG _00394","Aarde  Technosoft  Private Limited","Prop Tiger","Karnataka","Bengaluru","","","Bengaluru, Karnataka, India","","","Active"
"395","D'-12 Noida","Si_D'-1_00395","Aarde  Technosoft  Private Limited","Prop Tiger","Uttar Pradesh","Noida","","","Noida, Uttar Pradesh, India","","","Active"
"396","Sec 32 Gurgaon","Si_Sec_00396","Aarde  Technosoft  Private Limited","Prop Tiger","Haryana","Gurgaon","","","Sector 32, Gurugram, Haryana 122022, India","","","Active"
"422","Andheri '- Mumbai","Si_And_00422","Aarde  Technosoft  Private Limited","Prop Tiger","Maharashtra","Mumbai","Komal","","Andheri West, Mumbai, Maharashtra 400047, India","","","IN Active"
"362","Mumbai","Si_Mum_00362","Alcatel","Alcatel","Maharashtra","","","","","","","Active"
"363","Bangalore","Si_Ban_00363","Alcatel","Alcatel","Karnataka","","","","","","","Active"
"364","Chennai","Si_Che_00364","Alcatel","Alcatel","TamilNadu","","","","","","","Active"
"365","Ahmedabad","Si_Ahm_00365","Alcatel","Alcatel","Gujarat","","","","","","","Active"
"366","Hyderabad","Si_Hyd_00366","Alcatel","Alcatel","Andhra Pradesh","","","","","","","Active"
"367","Raipur","Si_Rai_00367","Alcatel","Alcatel","Chhattisgarh","","","","","","","Active"
"368","Bhopal","Si_Bho_00368","Alcatel","Alcatel","Madhya Pradesh","","","","","","","Active"
"369","Pune","Si_Pun_00369","Alcatel","Alcatel","Maharashtra","","","","","","","Active"
"370","Cyber Green '- Gurgaon","Si_Cyb_00370","Alcatel","Alcatel","Haryana","","","","","","","Active"
"371","Fortune Tower '- Gurgaon","Si_For_00371","Alcatel","Alcatel","Haryana","","","","","","","Active"
"372","Plot No. 25 '- Gurgaon","Si_Plo_00372","Alcatel","Alcatel","Haryana","","","","","","","Active"
"247","Noida","Si_Noi_00247","Calypto Design Systems (I) Pvt. Ltd.","Mentor Graphics Group","Uttar Pradesh","","Nidhi Saxena","9560888537","IGL Building  Sector 126 Noida  Uttar Pradesh 201301","","","Active"
"238","Mayur Vihar","Si_May_00238","Cars24 Services Private Limited","Cars24","Delhi","","","","Mayur Vihar Phase 1, New Delhi, Delhi 110091, India","","","Active"
"239","NineX City Mart Mall Gurgaon","Si_Nin_00239","Cars24 Services Private Limited","Cars24","Haryana","","","","","","","IN Active"
"405","Delhi Rangpuri","Si_Del_00405","Cars24 Services Private Limited","Cars24","Delhi","New Delhi","","","Rangpuri, New Delhi, Delhi, India","","","IN Active"
"175","Malviya Nagar New Delhi","Si_Mal_00175","Cars24 Services Private Limited","Cars24","Delhi","","","","Malviya Nagar, New Delhi, Delhi 110017, India","","","Active"
"176","Priya Enclave Delhi","Si_Pri_00176","Cars24 Services Private Limited","Cars24","Delhi","","","","Priya Enclave, Karkardooma, Anand Vihar, Delhi, India","","","Active"
"177","Lajpat Nagar'-2 New Delhi","Si_Laj_00177","Cars24 Services Private Limited","Cars24","Delhi","","","","","","","Active"
"178","Janak Puri New Delhi","Si_Jan_00178","Cars24 Services Private Limited","Cars24","Delhi","","","","Janakpuri, New Delhi, Delhi, India","","","Active"
"179","Chittaranjan Park","Si_Chi_00179","Cars24 Services Private Limited","Cars24","Delhi","","","","M'-34, Chittaranjan Park, Block C, Chittaranjan, New Delhi, Delhi 110019, India","","","Active"
"180","Shakti Nagar Delhi","Si_Sha_00180","Cars24 Services Private Limited","Cars24","Delhi","","","","Shakti Nagar, Delhi, 110007, India","","","Active"
"181","East Patel Nagar Delhi","Si_Eas_00181","Cars24 Services Private Limited","Cars24","Delhi","","","","","","","Active"
"182","Rohini New Delhi","Si_Roh_00182","Cars24 Services Private Limited","Cars24","Delhi","","","","Rohini, New Delhi, Delhi, India","","","Active"
"183","Dwarka New Delhi","Si_Dwa_00183","Cars24 Services Private Limited","Cars24","Delhi","","","","Dwarka, New Delhi, Delhi, India","","","Active"
"184","Pitampura","Si_Pit_00184","Cars24 Services Private Limited","Cars24","Delhi","","","","Pitampura, New Delhi, Delhi, India","","","Active"
"185","New Multan Nagar","Si_New_00185","Cars24 Services Private Limited","Cars24","Delhi","","","","New Multan Nagar, Shakurbasti, Delhi, 110063, India","","","Active"
"186","Vasant Kunj","Si_Vas_00186","Cars24 Services Private Limited","Cars24","Delhi","","","","Vasant Kunj, New Delhi, Delhi, India","","","Active"
"187","Sector'-44 Gurgaon","Si_Sec_00187","Cars24 Services Private Limited","Cars24","Haryana","","","","Sector 44, Gurugram, Haryana 122022, India","","","Active"
"188","Plot No '- 82","Si_Plo_00188","Cars24 Services Private Limited","Cars24","Haryana","","","","Gurugram, Haryana, India","","","Active"
"189","Tighra Village Gurgaon","Si_Tig_00189","Cars24 Services Private Limited","Cars24","Haryana","","","","Tigra, Sector 57, Gurugram, Haryana 122003, India","","","Active"
"190","DLF Phase'-2 Station Gurgaon","Si_DLF_00190","Cars24 Services Private Limited","Cars24","Haryana","","","","U Block, DLF Phase 2, Sector 25, Gurugram, Haryana 122002, India","","","Active"
"191","Railway Road Faridabad","Si_Rai_00191","Cars24 Services Private Limited","Cars24","Haryana","","","","Railway Rd, Railway Colony, New Industrial Town, Faridabad, Haryana 121001, India","","","Active"
"192","Pioneer Plaza","Si_Pio_00192","Cars24 Services Private Limited","Cars24","Haryana","","","","Gurugram, Haryana, India","","","Active"
"193","Domular Layout Bangalore","Si_Dom_00193","Cars24 Services Private Limited","Cars24","Karnataka","","","","","","","Active"
"194","Malleshwaram Bangalore","Si_Mal_00194","Cars24 Services Private Limited","Cars24","Karnataka","","","","Malleshwaram West, Bengaluru, Karnataka, India","","","Active"
"195","Banashankari Bangalore","Si_Ban_00195","Cars24 Services Private Limited","Cars24","Karnataka","","","","Banashankari, Bengaluru, Karnataka, India","","","Active"
"196","HBR Layout Bangalore","Si_HBR_00196","Cars24 Services Private Limited","Cars24","Karnataka","","","","HBR Layout, Bengaluru, Karnataka, India","","","Active"
"197","HSR Layout Bangalore","Si_HSR_00197","Cars24 Services Private Limited","Cars24","Karnataka","","","","HSR Layout, Bengaluru, Karnataka, India","","","Active"
"198","Bejai Mangalore","Si_Bej_00198","Cars24 Services Private Limited","Cars24","Karnataka","","","","Bejai, Mangaluru, Karnataka, India","","","Active"
"199","Electronic City Bangalore","Si_Ele_00199","Cars24 Services Private Limited","Cars24","Karnataka","","","","Electronic City, Bengaluru, Karnataka, India","","","Active"
"200","Yelahanka Bangalore","Si_Yel_00200","Cars24 Services Private Limited","Cars24","Karnataka","","","","Yelahanka, Bengaluru, Karnataka, India","","","Active"
"201","Bannerghatta","Si_Ban_00201","Cars24 Services Private Limited","Cars24","Karnataka","","","","Bannerughatta, Bengaluru, Karnataka 560083, India","","","Active"
"202","R.K. Puram Hobli Bangalore","Si_R.K_00202","Cars24 Services Private Limited","Cars24","Karnataka","","","","RK Puram, Gandhi Nagar, Bengaluru, Karnataka 560009, India","","","Active"
"203","Goregaon West Mumbai","Si_Gor_00203","Cars24 Services Private Limited","Cars24","Maharashtra","","","","Goregaon West, Mumbai, Maharashtra, India","","","Active"
"204","Bandra (West) Mumbai","Si_Ban_00204","Cars24 Services Private Limited","Cars24","Maharashtra","","","","Bandra West, Mumbai, Maharashtra, India","","","Active"
"205","Vashi Navi Mumbai","Si_Vas_00205","Cars24 Services Private Limited","Cars24","Maharashtra","","","","Vashi, Navi Mumbai, Maharashtra, India","","","Active"
"206","Heera Panna Mumbai","Si_Hee_00206","Cars24 Services Private Limited","Cars24","Maharashtra","","","","Shop No. 7/ A, Jai Mahal Building, Near Kings Shoe, Linking Road, Khar West, Mumbai, Maharashtra 400052, India","","","Active"
"207","Chembur Mumbai","Si_Che_00207","Cars24 Services Private Limited","Cars24","Maharashtra","","","","Chembur East, Mumbai, Maharashtra, India","","","Active"
"208","Worli Mumbai","Si_Wor_00208","Cars24 Services Private Limited","Cars24","Maharashtra","","","","Worli, Mumbai, Maharashtra, India","","","Active"
"209","Balewadi Pune","Si_Bal_00209","Cars24 Services Private Limited","Cars24","Maharashtra","","","","Balewadi, Pune, Maharashtra, India","","","Active"
"210","Borivali West Mumbai","Si_Bor_00210","Cars24 Services Private Limited","Cars24","Maharashtra","","","","Borivali West, Mumbai, Maharashtra, India","","","Active"
"211","Bhandup West Mumbai","Si_Bha_00211","Cars24 Services Private Limited","Cars24","Maharashtra","","","","Bhandup West, Mumbai, Maharashtra, India","","","Active"
"212","Uthalsar Thane","Si_Uth_00212","Cars24 Services Private Limited","Cars24","Maharashtra","","","","Uthalsar, Thane West, Thane, Maharashtra 400601, India","","","Active"
"213","Varsova","Si_Var_00213","Cars24 Services Private Limited","Cars24","Maharashtra","","","","Versova, Andheri West, Mumbai, Maharashtra, India","","","Active"
"214","Kharadi Pune","Si_Kha_00214","Cars24 Services Private Limited","Cars24","Maharashtra","","","","Kharadi, Pune, Maharashtra, India","","","Active"
"215","Viman Nagar Pune","Si_Vim_00215","Cars24 Services Private Limited","Cars24","Maharashtra","","","","Viman Nagar, Pune, Maharashtra, India","","","Active"
"216","Kandivali","Si_Kan_00216","Cars24 Services Private Limited","Cars24","Maharashtra","","","","","","","Active"
"217","S.A.S. Nagar Mohali","Si_S.A_00217","Cars24 Services Private Limited","Cars24","Punjab","","","","Sahibzada Ajit Singh Nagar, Punjab, India","","","Active"
