SiteID,Company,Customer,Name,SiteCode,State,Location,Contact_Person,Contact_Number,Address,Maker,Checker,Status,Response,Message
"0","Jubilant FoodWorks Limited","Domino''s Pizza India","66682_DHALPUR KULLU HIMACHAL PRADESH","66682_DHALPUR KULLU HIMACHAL PRADESH","Himanchal Pradesh","Kullu","","","Third Floor  Food Court  Shobla Complex bearing house no. 217 village Dhalpur kothi  Kullu Himachal Pradesh","","","1","Success",""
"0","Jubilant FoodWorks Limited","Domino''s Pizza India","65940_TIDAL PARK '- CHENNAI","65940_TIDAL PARK '- CHENNAI","Tamilnadu","Chennai","","","COUNTER NO. 2 FOOD COURT GROUND FLOORNO.4 CANAL BANK ROADTIDEL PARK","","","1","Success",""
"0","Jubilant FoodWorks Limited","Domino''s Pizza India","66746_CITY CENTRE BOKARO JHARKHAND","66746_CITY CENTRE BOKARO JHARKHAND","Jharkhand","Bokaro","","","Upper Ground floor Plot No. B'-15 City Centre Sec'-4 Bokaro Steel City Jharkhand","","","1","Success",""
"0","Jubilant FoodWorks Limited","Domino''s Pizza India","66916_LALBAGH DARBHANGA BIHAR","66916_LALBAGH DARBHANGA BIHAR","Bihar","Darbhanga","","","Darbhanga'- Lal Bagh Thana","","","1","Success",""
"0","Jubilant FoodWorks Limited","Domino''s Pizza India","65781_GURGAON","65781_GURGAON","Haryana","Gurgaon","","","VIVEK PLAZA '- SCF 94SEC'-14GURGAON","","","1","Success",""
"0","Jubilant FoodWorks Limited","Domino''s Pizza India","65995_OUTSIDE CITY SQUARE MALL JAMMU","65995_OUTSIDE CITY SQUARE MALL JAMMU","Jammu","Jammu","","","Outside City Square Mall Gulab Singh Road Dogra Chowk Opposite Exhibition Ground Jammu","","","1","Success",""
"0","Jubilant FoodWorks Limited","Domino''s Pizza India","66697_DMRC KAROL BAGH METRO STATION DELHI","66697_DMRC KAROL BAGH METRO STATION DELHI","Delhi","Delhi","","","Shop No. U 22 AGN Karol Bagh Metro Station Delhi","","","1","Success",""
"0","Jubilant FoodWorks Limited","Domino''s Pizza India","66286_DLF SAROJINI NAGAR NEW DELHI","66286_DLF SAROJINI NAGAR NEW DELHI","Delhi","Delhi","","","First Floor Shop No. 102AMultilevel Parking Cum Commercial Complex (MLCP)DLF South Square Sarojini NagarNew Delhi","","","1","Success",""
"0","Jubilant FoodWorks Limited","Domino''s Pizza India","65967_PORVORIM '- GOA","65967_PORVORIM '- GOA","Goa","Goa","","","H/NO 406/187PLOT NO 220NH'-17 RD","","","1","Success",""
"0","Jubilant FoodWorks Limited","Domino''s Pizza India","66619_PALLIKARNAI CHENNAI TAMIL NADU","66619_PALLIKARNAI CHENNAI TAMIL NADU","Tamilnadu","Chennai","","","First and Second Floor No. 17  Narayana PuramVelecherry Main Road Pallikaranai  Chennai Tamilnadu","","","1","Success",""
