DocID,Site,Act,Activity,Frequency,NextDueDate,RemindDays,IsActive,Maker1,Maker2,Checker1,Checker2,Auditor1,Auditor2,ActionType,Applicable_To_Client
"0","Malviya Nagar New Delhi","CGST Act","GST Payment Challan","Monthly","01/04/2019 00:00:00","10","0","","","","","","","",""
"0","Malviya Nagar New Delhi","CGST Act","GSTR '- 1","Monthly","10/07/2018 00:00:00","10","0","","","","","","","",""
"0","Malviya Nagar New Delhi","CGST Act","GSTR '- 3B","Monthly","20/07/2018 00:00:00","10","0","","","","","","","",""
"0","Malviya Nagar New Delhi","CGST Act","Reconciliation of Input with GSTR 2A","As Needed","01/04/2019 00:00:00","10","0","","","","","","","",""
"0","Malviya Nagar New Delhi","CLRA '- Cont","Form A Employee Register (Central Rules)","Monthly","25/04/2017 00:00:00","10","0","","","","","","","",""
"0","Malviya Nagar New Delhi","CLRA '- Cont","Form B Wage Register (Central Rules)","Monthly","25/04/2017 00:00:00","10","0","","","","","","","",""
"0","Malviya Nagar New Delhi","CLRA '- Cont","Form C Register of Loan Recoveries (Central Rules)","Monthly","25/04/2017 00:00:00","10","0","","","","","","","",""
"0","Malviya Nagar New Delhi","CLRA '- Cont","Form D Attendance Register (Central Rules)","Monthly","25/04/2017 00:00:00","10","0","","","","","","","",""
"0","Malviya Nagar New Delhi","CLRA '- Cont","Form II Muster Roll'-cum'-Wages Register","Monthly","09/05/2019 00:00:00","10","0","","","","","","","",""
"0","Malviya Nagar New Delhi","CLRA '- Cont","Form XIV Employment Card","Monthly","28/02/2019 00:00:00","10","0","","","","","","","",""
"0","Malviya Nagar New Delhi","CLRA '- Cont","Form XV Service Certificate","Monthly","28/02/2019 00:00:00","10","0","","","","","","","",""
"0","Malviya Nagar New Delhi","CLRA '- Cont","Half Yearly Returns Form XXIV","Half Yearly","28/02/2019 00:00:00","10","0","","","","","","","",""
"0","Malviya Nagar New Delhi","CLRA '- Cont","IN OUT Register","Monthly","19/03/2019 00:00:00","0","0","","","","","","","",""
"0","Malviya Nagar New Delhi","CLRA '- Cont","Status of Form V","As Needed","02/01/2017 00:00:00","0","0","","","","","","","",""
"0","Malviya Nagar New Delhi","ESI","Registration","As Needed","02/01/2017 00:00:00","0","0","","","","","","","",""
"0","Malviya Nagar New Delhi","Factories Act","Health Register","Monthly","01/06/2018 00:00:00","10","0","","","","","","","",""
"0","Malviya Nagar New Delhi","Factories Act","License Obtained","As Needed","02/01/2017 00:00:00","0","0","","","","","","","",""
"0","Malviya Nagar New Delhi","Factories Act","Overtime","Monthly","01/06/2018 00:00:00","10","0","","","","","","","",""
"0","Malviya Nagar New Delhi","Factories Act","Register of accident and Major accidents and dangerous occurrences","Monthly","01/06/2018 00:00:00","10","0","","","","","","","",""
"0","Malviya Nagar New Delhi","Factories Act","Register of Adult Workers","Monthly","01/09/2018 00:00:00","10","0","","","","","","","",""
