UID,User_Name,First_Name,Last_Name,Email,Role,Contact_Number,Company,Customer,Contractor,skey,Password,IsAuth
Display Name,Mandatory Fields,Data Type,Remarks,,,,,,,,,
User_Name,Yes,Text,,,,,,,,,,
First_Name,No,Text,,,,,,,,,,
Last_Name,No,Text,,,,,,,,,,
Email,Yes,Text,,,,,,,,,,
Role,Yes,Text,,,,,,,,,,
Contact_Number,No,Text,,,,,,,,,,
Company,No,Text,,,,,,,,,,
Customer,No,Text,,,,,,,,,,
Contractor,No,Text,,,,,,,,,,
skey,Yes,Text,,,,,,,,,,
Password,Yes,Text,,,,,,,,,,
IsAuth,Yes,Text,Length not more than 1,,,,,,,,,
